date,open,close,high,low,volume,month
2023-11-01 05:30:00,175.28,178.45,179.38,175.28,13929780,2023-11
2023-11-02 05:30:00,180.48,180.28,181.0,178.63,10130432,2023-11
2023-11-03 05:30:00,180.58,180.75,181.85,180.1,5627900,2023-11
2023-11-06 05:30:00,181.4,183.13,184.58,180.68,9072020,2023-11
2023-11-07 05:30:00,183.4,186.4,186.83,183.1,10702176,2023-11
2023-11-08 05:30:00,187.73,192.1,193.95,187.03,24020912,2023-11
2023-11-09 05:30:00,192.55,191.78,195.33,191.4,12843896,2023-11
2023-11-10 05:30:00,190.9,192.03,193.05,190.25,4932486,2023-11
2023-11-12 05:30:00,192.5,192.05,194.0,191.58,776810,2023-11
2023-11-13 05:30:00,191.75,193.55,194.35,191.75,4838906,2023-11
2023-11-15 05:30:00,194.0,196.28,196.7,193.58,11266250,2023-11
2023-11-16 05:30:00,197.0,199.33,200.65,196.5,15416172,2023-11
2023-11-17 05:30:00,200.0,195.13,203.55,194.63,16380696,2023-11
2023-11-20 05:30:00,195.33,196.0,196.7,193.73,4506882,2023-11
2023-11-21 05:30:00,196.0,194.0,196.6,193.3,4477214,2023-11
2023-11-22 05:30:00,196.0,201.05,201.4,195.55,25730664,2023-11
2023-11-23 05:30:00,201.78,205.65,206.75,200.33,16239092,2023-11
2023-11-24 05:30:00,206.5,205.3,206.5,203.5,10975546,2023-11
2023-11-28 05:30:00,207.03,212.25,212.95,206.55,23186856,2023-11
2023-11-29 05:30:00,213.0,214.33,217.23,209.35,25208812,2023-11
2023-11-30 05:30:00,217.25,217.85,219.38,214.53,32721308,2023-11
2023-12-01 05:30:00,220.0,219.0,221.2,216.7,19278842,2023-12
2023-12-04 05:30:00,222.5,230.75,232.4,222.0,41482794,2023-12
2023-12-05 05:30:00,235.03,236.1,238.23,232.5,38376064,2023-12
2023-12-06 05:30:00,240.5,236.43,241.25,234.15,27408826,2023-12
2023-12-07 05:30:00,238.5,237.35,239.5,235.75,23850564,2023-12
2023-12-08 05:30:00,238.45,235.23,238.73,232.9,18940478,2023-12
2023-12-11 05:30:00,237.43,232.75,237.43,228.28,27693108,2023-12
2023-12-12 05:30:00,222.75,223.78,225.73,222.75,19940320,2023-12
2023-12-13 05:30:00,224.75,223.75,227.18,222.98,26664018,2023-12
2023-12-14 05:30:00,224.98,222.85,224.98,221.03,12555568,2023-12
2023-12-15 05:30:00,222.5,224.5,226.73,221.1,22079148,2023-12
2023-12-18 05:30:00,224.5,223.63,225.13,222.05,16831064,2023-12
2023-12-19 05:30:00,223.63,224.88,225.75,222.53,12644672,2023-12
2023-12-20 05:30:00,226.7,219.73,227.68,219.18,17347978,2023-12
2023-12-21 05:30:00,217.45,224.78,225.23,216.23,18554414,2023-12
2023-12-22 05:30:00,224.85,223.33,226.68,222.53,11559264,2023-12
2023-12-26 05:30:00,224.0,225.8,228.25,222.25,22976450,2023-12
2023-12-27 05:30:00,226.98,227.35,228.2,224.15,12398088,2023-12
2023-12-28 05:30:00,228.0,232.9,235.43,227.38,45183336,2023-12
2023-12-29 05:30:00,227.25,225.33,229.0,224.33,17088440,2023-12
2024-01-01 05:30:00,229.7,226.03,229.7,225.35,7006288,2024-01
2024-01-02 05:30:00,226.03,228.13,229.7,224.05,9458818,2024-01
2024-01-03 05:30:00,229.98,230.53,232.65,227.53,15058884,2024-01
2024-01-04 05:30:00,228.4,226.33,228.75,225.5,17904916,2024-01
2024-01-05 05:30:00,227.95,226.55,229.83,225.63,8080468,2024-01
2024-01-08 05:30:00,228.48,227.5,232.15,225.73,18232610,2024-01
2024-01-09 05:30:00,230.0,229.98,231.88,227.83,12301290,2024-01
2024-01-10 05:30:00,227.6,225.63,228.08,222.55,15261992,2024-01
2024-01-11 05:30:00,226.95,229.35,230.6,226.6,15751252,2024-01
2024-01-12 05:30:00,229.5,229.13,230.55,227.55,11990812,2024-01
2024-01-15 05:30:00,230.0,229.98,231.75,227.83,10408382,2024-01
2024-01-16 05:30:00,230.5,236.43,239.9,230.25,42369500,2024-01
2024-01-17 05:30:00,236.0,235.83,238.58,233.08,22429284,2024-01
2024-01-18 05:30:00,233.5,236.6,240.45,230.5,19802302,2024-01
2024-01-19 05:30:00,238.0,240.48,242.5,237.03,12973856,2024-01
2024-01-20 05:30:00,242.0,241.55,243.0,240.0,7622276,2024-01
2024-01-23 05:30:00,244.25,231.53,244.25,230.05,18419550,2024-01
2024-01-24 05:30:00,232.5,238.58,239.25,231.65,15161312,2024-01
2024-01-25 05:30:00,238.6,237.2,244.18,235.5,21346674,2024-01
2024-01-29 05:30:00,237.0,246.33,250.7,234.7,27869484,2024-01
2024-01-30 05:30:00,248.43,252.1,258.93,246.58,44271876,2024-01
2024-01-31 05:30:00,252.98,251.18,256.27,249.28,20707736,2024-01
2024-02-01 05:30:00,252.28,254.23,257.65,249.55,14008198,2024-02
2024-02-02 05:30:00,258.68,279.18,286.2,258.0,77556082,2024-02
2024-02-05 05:30:00,283.0,287.38,294.4,278.52,45025890,2024-02
2024-02-06 05:30:00,289.98,304.65,307.35,285.35,45260656,2024-02
2024-02-07 05:30:00,308.4,301.02,310.0,299.65,28791718,2024-02
2024-02-08 05:30:00,304.0,310.25,317.68,303.2,37522588,2024-02
2024-02-09 05:30:00,311.5,307.15,311.85,296.15,29524266,2024-02
2024-02-12 05:30:00,307.4,295.23,309.3,291.88,17042236,2024-02
2024-02-13 05:30:00,295.98,292.15,298.27,290.18,12659942,2024-02
2024-02-14 05:30:00,291.0,311.83,314.68,291.0,47987362,2024-02
2024-02-15 05:30:00,315.0,326.38,328.48,311.55,51245018,2024-02
2024-02-16 05:30:00,333.0,327.3,343.98,325.95,55744810,2024-02
2024-02-19 05:30:00,329.95,326.27,333.35,325.43,24997270,2024-02
2024-02-20 05:30:00,326.27,328.8,332.0,318.63,20913510,2024-02
2024-02-21 05:30:00,331.8,316.6,333.93,315.0,17722264,2024-02
2024-02-22 05:30:00,314.5,312.95,315.43,305.43,27653580,2024-02
2024-02-23 05:30:00,311.02,308.98,314.75,307.63,12564690,2024-02
2024-02-26 05:30:00,308.5,313.58,316.8,302.05,23264196,2024-02
2024-02-27 05:30:00,313.55,312.52,316.35,308.15,14881202,2024-02
2024-02-28 05:30:00,312.43,304.65,312.77,303.05,12645922,2024-02
2024-02-29 05:30:00,304.5,301.93,305.9,297.23,20515464,2024-02
2024-03-01 05:30:00,305.5,311.65,313.63,304.5,15763236,2024-03
2024-03-02 05:30:00,312.5,312.6,314.98,309.2,625526,2024-03
2024-03-04 05:30:00,312.6,320.23,321.63,310.43,14804172,2024-03
2024-03-05 05:30:00,320.52,322.55,324.75,316.05,12317936,2024-03
2024-03-06 05:30:00,321.5,319.18,326.5,312.63,18258188,2024-03
2024-03-07 05:30:00,318.5,312.35,320.58,311.0,11968574,2024-03
2024-03-11 05:30:00,308.5,313.2,319.35,306.02,15353008,2024-03
2024-03-12 05:30:00,313.5,312.73,317.68,308.33,14074364,2024-03
2024-03-13 05:30:00,314.0,298.88,314.0,297.1,14910184,2024-03
2024-03-14 05:30:00,298.88,304.38,307.0,296.2,19372474,2024-03
2024-03-15 05:30:00,294.13,293.23,300.0,279.5,57039318,2024-03
2024-03-18 05:30:00,293.23,291.15,296.4,290.15,10980494,2024-03
2024-03-19 05:30:00,290.0,278.85,290.43,278.2,21665634,2024-03
2024-03-20 05:30:00,280.5,283.33,286.2,280.15,17528566,2024-03
2024-03-21 05:30:00,287.0,293.9,294.85,286.27,16625332,2024-03
2024-03-22 05:30:00,294.5,296.4,302.23,292.27,21445540,2024-03
2024-03-26 05:30:00,293.2,299.93,301.9,292.68,13567050,2024-03
2024-03-27 05:30:00,302.5,297.6,305.88,296.65,10893576,2024-03
2024-03-28 05:30:00,300.45,301.2,305.63,298.8,12168632,2024-03
2024-04-01 05:30:00,301.5,300.35,304.48,299.08,6260114,2024-04
2024-04-02 05:30:00,302.5,307.9,310.15,300.0,18944588,2024-04
2024-04-03 05:30:00,306.5,305.48,309.68,304.4,12456516,2024-04
2024-04-04 05:30:00,307.0,299.25,308.05,297.73,15187270,2024-04
2024-04-05 05:30:00,296.77,295.23,297.15,290.13,17546990,2024-04
2024-04-08 05:30:00,297.98,295.98,301.8,295.3,11628512,2024-04
2024-04-09 05:30:00,298.6,292.88,298.6,291.75,9089852,2024-04
2024-04-10 05:30:00,294.65,302.38,304.35,292.5,22286674,2024-04
2024-04-12 05:30:00,302.38,300.6,306.43,299.5,13419366,2024-04
2024-04-15 05:30:00,295.1,294.77,299.9,287.2,16619074,2024-04
2024-04-16 05:30:00,292.5,296.15,300.0,289.27,11546770,2024-04
2024-04-18 05:30:00,302.25,294.8,308.8,292.77,25834400,2024-04
2024-04-19 05:30:00,289.0,292.9,294.95,282.1,20996084,2024-04
2024-04-22 05:30:00,297.43,301.73,304.4,296.5,17525618,2024-04
2024-04-23 05:30:00,304.15,296.5,304.75,295.88,11440602,2024-04
2024-04-24 05:30:00,299.0,296.68,299.43,296.0,9778936,2024-04
2024-04-25 05:30:00,296.68,301.7,302.9,294.02,14346756,2024-04
2024-04-26 05:30:00,301.15,304.73,307.35,299.55,9905056,2024-04
2024-04-29 05:30:00,307.48,309.4,312.25,303.6,15908852,2024-04
2024-04-30 05:30:00,312.0,303.68,312.27,301.7,12520696,2024-04
2024-05-02 05:30:00,309.0,317.33,318.52,307.25,31766132,2024-05
2024-05-03 05:30:00,320.0,314.93,320.85,312.55,8997336,2024-05
2024-05-06 05:30:00,317.5,305.13,317.6,303.08,9472036,2024-05
2024-05-07 05:30:00,311.25,302.15,314.23,301.0,19902238,2024-05
2024-05-08 05:30:00,304.0,310.15,312.15,301.73,13939168,2024-05
2024-05-09 05:30:00,312.5,296.08,312.5,295.02,19938848,2024-05
2024-05-10 05:30:00,307.5,309.33,310.98,300.77,44164342,2024-05
2024-05-13 05:30:00,312.48,303.45,312.48,295.9,22898652,2024-05
2024-05-14 05:30:00,306.2,302.98,308.85,301.08,12813314,2024-05
