date,open,close,high,low,volume,month
2023-11-01 05:30:00,1886.5,1861.15,1889.49,1854.03,346246,2023-11
2023-11-02 05:30:00,1871.21,1890.23,1893.42,1871.21,319487,2023-11
2023-11-03 05:30:00,1895.96,1888.69,1907.42,1882.86,232702,2023-11
2023-11-06 05:30:00,1894.57,1911.1,1928.88,1888.69,289986,2023-11
2023-11-07 05:30:00,1912.4,1913.94,1922.31,1904.48,221265,2023-11
2023-11-08 05:30:00,1921.36,1926.19,1935.31,1912.4,423880,2023-11
2023-11-09 05:30:00,1929.73,1927.34,1936.85,1922.36,287673,2023-11
2023-11-10 05:30:00,1922.41,1935.31,1940.09,1913.59,192125,2023-11
2023-11-12 05:30:00,1942.18,1938.39,1942.18,1934.06,51126,2023-11
2023-11-13 05:30:00,1938.19,1921.21,1938.19,1914.39,212493,2023-11
2023-11-15 05:30:00,1939.29,1936.25,1956.52,1927.34,964482,2023-11
2023-11-16 05:30:00,1941.98,1934.91,1947.11,1906.27,946968,2023-11
2023-11-17 05:30:00,1933.36,1962.75,1975.74,1932.67,842693,2023-11
2023-11-20 05:30:00,1963.79,1964.49,1970.32,1945.37,285035,2023-11
2023-11-21 05:30:00,1964.84,1969.62,1980.13,1961.2,315462,2023-11
2023-11-22 05:30:00,1971.96,1966.28,1977.04,1950.99,312634,2023-11
2023-11-23 05:30:00,1976.24,1949.15,1976.24,1943.67,433991,2023-11
2023-11-24 05:30:00,1956.12,1941.68,1961.65,1937.75,167353,2023-11
2023-11-28 05:30:00,1955.23,1968.08,1979.13,1945.52,693564,2023-11
2023-11-29 05:30:00,1980.23,1995.32,2001.04,1973.21,817705,2023-11
2023-11-30 05:30:00,1998.06,1997.51,2022.96,1982.37,1693576,2023-11
2023-12-01 05:30:00,2011.95,2008.07,2030.93,2000.05,924834,2023-12
2023-12-04 05:30:00,2066.78,2044.82,2067.78,2020.42,1047438,2023-12
2023-12-05 05:30:00,2049.75,2064.14,2069.77,2030.43,556954,2023-12
2023-12-06 05:30:00,2071.61,2049.6,2076.74,2037.45,357781,2023-12
2023-12-07 05:30:00,2049.6,2073.51,2080.73,2037.5,421441,2023-12
2023-12-08 05:30:00,2071.76,2061.85,2090.99,2034.56,590085,2023-12
2023-12-11 05:30:00,2063.79,2075.8,2079.98,2059.91,252798,2023-12
2023-12-12 05:30:00,2081.72,2072.51,2120.57,2067.38,768374,2023-12
2023-12-13 05:30:00,2072.66,2075.7,2084.66,2029.23,799207,2023-12
2023-12-14 05:30:00,2086.65,2095.57,2103.59,2073.71,602310,2023-12
2023-12-15 05:30:00,2107.62,2119.27,2124.3,2093.68,721459,2023-12
2023-12-18 05:30:00,2119.27,2101.4,2119.27,2093.68,311622,2023-12
2023-12-19 05:30:00,2098.71,2109.86,2129.33,2080.93,315450,2023-12
2023-12-20 05:30:00,2125.55,2055.38,2127.14,2045.42,673592,2023-12
2023-12-21 05:30:00,2041.88,2077.34,2082.57,2041.88,441717,2023-12
2023-12-22 05:30:00,2080.73,2038.1,2088.3,2026.84,998065,2023-12
2023-12-26 05:30:00,2042.88,2061.35,2074.75,2040.89,638720,2023-12
2023-12-27 05:30:00,2070.72,2116.39,2122.41,2063.4,1128919,2023-12
2023-12-28 05:30:00,2120.57,2131.48,2139.74,2097.96,1055579,2023-12
2023-12-29 05:30:00,2131.82,2126.35,2136.51,2106.62,646225,2023-12
2024-01-01 05:30:00,2136.51,2118.88,2166.39,2103.64,801280,2024-01
2024-01-02 05:30:00,2121.47,2093.13,2121.96,2079.73,793613,2024-01
2024-01-03 05:30:00,2081.72,2063.99,2111.6,2057.92,967324,2024-01
2024-01-04 05:30:00,2081.72,2062.0,2086.7,2051.24,954901,2024-01
2024-01-05 05:30:00,2089.69,2071.27,2090.69,2045.42,1080483,2024-01
2024-01-08 05:30:00,2071.27,2059.51,2075.45,2049.75,555101,2024-01
2024-01-09 05:30:00,2073.9,2055.88,2084.46,2050.7,1207197,2024-01
2024-01-10 05:30:00,2058.8,2068.55,2074.45,2040.85,325322,2024-01
2024-01-11 05:30:00,2069.95,2083.7,2096.3,2051.0,887806,2024-01
2024-01-12 05:30:00,2083.0,2111.55,2120.9,2075.0,485644,2024-01
2024-01-15 05:30:00,2111.75,2101.0,2122.95,2093.7,202260,2024-01
2024-01-16 05:30:00,2092.55,2115.2,2119.8,2090.1,457403,2024-01
2024-01-17 05:30:00,2112.6,2067.85,2115.2,2056.0,733818,2024-01
2024-01-18 05:30:00,2067.0,2053.65,2069.0,2036.2,877519,2024-01
2024-01-19 05:30:00,2056.45,2081.2,2094.0,2052.35,456698,2024-01
2024-01-20 05:30:00,2095.0,2081.2,2099.9,2070.0,131682,2024-01
2024-01-23 05:30:00,2078.1,2049.6,2086.4,2032.5,938057,2024-01
2024-01-24 05:30:00,2069.0,2071.3,2080.75,2016.55,604130,2024-01
2024-01-25 05:30:00,2079.95,2076.5,2087.35,2052.15,467209,2024-01
