date,open,close,high,low,volume,month
2023-11-01 05:30:00,2485.0,2472.25,2493.95,2466.8,1267131,2023-11
2023-11-02 05:30:00,2475.0,2486.8,2496.0,2463.3,1595123,2023-11
2023-11-03 05:30:00,2497.0,2509.25,2512.5,2485.8,1125583,2023-11
2023-11-06 05:30:00,2515.0,2497.4,2517.75,2491.1,1338677,2023-11
2023-11-07 05:30:00,2496.0,2496.45,2505.2,2485.25,1473411,2023-11
2023-11-08 05:30:00,2498.0,2519.35,2525.0,2497.7,745022,2023-11
2023-11-09 05:30:00,2520.05,2476.7,2522.0,2473.05,1823094,2023-11
2023-11-10 05:30:00,2477.0,2486.55,2488.6,2465.35,771062,2023-11
2023-11-12 05:30:00,2494.05,2491.55,2499.0,2486.0,82500,2023-11
2023-11-13 05:30:00,2477.2,2478.15,2487.2,2471.0,760809,2023-11
2023-11-15 05:30:00,2501.9,2486.4,2503.05,2476.0,1457029,2023-11
2023-11-16 05:30:00,2480.2,2491.2,2505.8,2475.35,1420578,2023-11
2023-11-17 05:30:00,2465.0,2528.8,2533.5,2465.0,1756043,2023-11
2023-11-20 05:30:00,2534.45,2506.45,2534.5,2500.0,944231,2023-11
2023-11-21 05:30:00,2505.0,2505.25,2517.0,2498.0,1088806,2023-11
2023-11-22 05:30:00,2507.75,2521.9,2524.25,2504.0,816610,2023-11
2023-11-23 05:30:00,2506.2,2519.9,2527.75,2506.2,1023670,2023-11
2023-11-24 05:30:00,2515.1,2515.2,2519.8,2507.45,735137,2023-11
2023-11-28 05:30:00,2531.75,2510.55,2531.75,2500.0,1880641,2023-11
2023-11-29 05:30:00,2512.0,2525.05,2528.65,2508.1,1265214,2023-11
2023-11-30 05:30:00,2516.15,2545.55,2554.5,2516.15,3095684,2023-11
2023-12-01 05:30:00,2547.5,2563.65,2581.95,2542.0,1345599,2023-12
2023-12-04 05:30:00,2577.0,2602.3,2608.4,2575.0,2188039,2023-12
2023-12-05 05:30:00,2637.0,2563.25,2637.0,2556.3,3108717,2023-12
2023-12-06 05:30:00,2570.0,2567.65,2583.7,2563.0,1573754,2023-12
2023-12-07 05:30:00,2551.1,2518.25,2559.8,2498.6,3925967,2023-12
2023-12-08 05:30:00,2519.0,2522.3,2533.95,2508.3,1605805,2023-12
2023-12-11 05:30:00,2522.3,2503.65,2529.95,2499.0,2012243,2023-12
2023-12-12 05:30:00,2500.0,2502.75,2518.0,2497.0,1677929,2023-12
2023-12-13 05:30:00,2507.85,2511.9,2516.7,2498.05,1513205,2023-12
2023-12-14 05:30:00,2521.35,2516.35,2524.8,2501.2,2166569,2023-12
2023-12-15 05:30:00,2520.0,2522.9,2532.0,2507.0,2543337,2023-12
2023-12-18 05:30:00,2520.15,2535.5,2544.5,2515.0,1969036,2023-12
2023-12-19 05:30:00,2535.05,2560.7,2566.95,2535.0,1656220,2023-12
2023-12-20 05:30:00,2572.95,2557.5,2572.95,2547.0,1468642,2023-12
2023-12-21 05:30:00,2542.25,2553.2,2580.0,2536.0,1945695,2023-12
2023-12-22 05:30:00,2559.2,2575.6,2579.75,2546.8,1174984,2023-12
2023-12-26 05:30:00,2575.6,2584.75,2591.65,2567.05,893776,2023-12
2023-12-27 05:30:00,2586.0,2608.3,2612.0,2580.9,1073278,2023-12
2023-12-28 05:30:00,2613.85,2633.8,2640.0,2606.85,1635216,2023-12
2023-12-29 05:30:00,2633.8,2663.95,2667.1,2621.25,1305681,2023-12
2024-01-01 05:30:00,2663.85,2654.75,2669.4,2638.0,526353,2024-01
2024-01-02 05:30:00,2648.0,2613.8,2653.95,2607.0,1310629,2024-01
2024-01-03 05:30:00,2599.0,2606.55,2628.6,2595.55,1008270,2024-01
2024-01-04 05:30:00,2606.55,2592.55,2623.0,2588.05,1376844,2024-01
2024-01-05 05:30:00,2595.0,2620.05,2629.9,2595.0,1150738,2024-01
2024-01-08 05:30:00,2624.95,2578.25,2626.0,2566.5,1189828,2024-01
2024-01-09 05:30:00,2582.55,2579.75,2589.0,2571.55,1017205,2024-01
2024-01-10 05:30:00,2580.0,2577.4,2594.3,2565.0,881278,2024-01
2024-01-11 05:30:00,2580.0,2536.2,2589.0,2531.85,2399600,2024-01
2024-01-12 05:30:00,2533.5,2544.0,2555.0,2511.85,2979841,2024-01
2024-01-15 05:30:00,2546.0,2573.2,2578.75,2531.0,1391204,2024-01
2024-01-16 05:30:00,2573.2,2569.1,2584.6,2556.35,1599406,2024-01
2024-01-17 05:30:00,2549.0,2562.9,2571.35,2539.75,3047652,2024-01
2024-01-18 05:30:00,2570.0,2548.0,2570.0,2537.55,1273095,2024-01
2024-01-19 05:30:00,2565.0,2565.4,2573.95,2532.0,1323064,2024-01
2024-01-20 05:30:00,2519.95,2468.9,2523.0,2466.1,2467648,2024-01
2024-01-23 05:30:00,2451.0,2375.55,2480.5,2365.45,4369332,2024-01
2024-01-24 05:30:00,2388.0,2441.65,2445.9,2367.15,1551469,2024-01
2024-01-25 05:30:00,2454.8,2428.3,2468.0,2420.2,2364765,2024-01
2024-01-29 05:30:00,2410.0,2444.4,2449.0,2410.0,1587091,2024-01
2024-01-30 05:30:00,2454.0,2458.65,2494.55,2447.3,1793711,2024-01
2024-01-31 05:30:00,2450.0,2481.55,2485.9,2441.75,1445004,2024-01
2024-02-01 05:30:00,2475.1,2473.6,2511.55,2468.35,1727534,2024-02
2024-02-02 05:30:00,2477.0,2452.6,2486.9,2442.0,1956115,2024-02
2024-02-05 05:30:00,2464.0,2419.5,2464.75,2412.75,1315445,2024-02
2024-02-06 05:30:00,2424.95,2426.35,2441.35,2418.05,1557511,2024-02
2024-02-07 05:30:00,2439.9,2425.45,2439.9,2411.55,1149076,2024-02
2024-02-08 05:30:00,2441.8,2417.05,2441.8,2399.0,1758661,2024-02
2024-02-09 05:30:00,2417.05,2424.15,2428.45,2406.1,886474,2024-02
2024-02-12 05:30:00,2424.1,2385.65,2429.85,2382.0,1292460,2024-02
2024-02-13 05:30:00,2390.0,2394.0,2400.95,2380.1,957865,2024-02
2024-02-14 05:30:00,2385.0,2387.95,2394.0,2370.0,1397975,2024-02
2024-02-15 05:30:00,2368.35,2350.85,2384.7,2346.75,2553695,2024-02
2024-02-16 05:30:00,2369.95,2375.25,2382.0,2357.6,2363302,2024-02
2024-02-19 05:30:00,2389.5,2387.15,2394.95,2373.8,576683,2024-02
2024-02-20 05:30:00,2370.1,2404.1,2408.45,2368.2,1032995,2024-02
2024-02-21 05:30:00,2404.1,2407.1,2422.8,2394.1,1127778,2024-02
2024-02-22 05:30:00,2420.3,2388.1,2420.3,2365.75,2258516,2024-02
2024-02-23 05:30:00,2388.55,2394.1,2405.5,2383.95,1210775,2024-02
2024-02-26 05:30:00,2391.1,2404.25,2406.55,2380.0,831596,2024-02
2024-02-27 05:30:00,2404.05,2405.3,2408.95,2389.15,1120424,2024-02
2024-02-28 05:30:00,2411.1,2421.55,2425.0,2401.0,629152,2024-02
2024-02-29 05:30:00,2425.0,2412.3,2428.8,2397.25,2848084,2024-02
2024-03-01 05:30:00,2416.95,2409.7,2438.8,2404.0,2326244,2024-03
2024-03-02 05:30:00,2419.0,2416.2,2421.4,2410.05,42905,2024-03
2024-03-04 05:30:00,2416.2,2422.0,2427.9,2404.4,1501261,2024-03
2024-03-05 05:30:00,2405.0,2399.85,2420.0,2391.1,1587199,2024-03
2024-03-06 05:30:00,2404.0,2400.8,2408.85,2375.3,1354111,2024-03
2024-03-07 05:30:00,2404.95,2419.55,2426.0,2403.0,1820704,2024-03
2024-03-11 05:30:00,2409.0,2389.85,2413.0,2383.55,2040761,2024-03
2024-03-12 05:30:00,2380.0,2378.15,2385.0,2360.8,1012157,2024-03
2024-03-13 05:30:00,2375.0,2312.6,2375.0,2303.85,2322669,2024-03
2024-03-14 05:30:00,2304.85,2334.6,2341.7,2301.85,2292515,2024-03
2024-03-15 05:30:00,2330.05,2327.7,2336.95,2315.9,2751403,2024-03
2024-03-18 05:30:00,2320.8,2299.95,2325.0,2297.0,2487402,2024-03
2024-03-19 05:30:00,2283.25,2266.95,2303.9,2246.85,4220638,2024-03
2024-03-20 05:30:00,2250.0,2241.95,2265.45,2240.0,2995013,2024-03
2024-03-21 05:30:00,2234.0,2242.35,2259.15,2234.0,3504486,2024-03
2024-03-22 05:30:00,2239.05,2256.55,2266.0,2232.05,3507809,2024-03
2024-03-26 05:30:00,2232.1,2240.0,2259.15,2232.0,3027027,2024-03
2024-03-27 05:30:00,2250.0,2239.7,2263.0,2236.0,2168861,2024-03
2024-03-28 05:30:00,2245.0,2264.35,2287.9,2240.1,3186360,2024-03
2024-04-01 05:30:00,2270.0,2285.9,2295.0,2262.0,1427873,2024-04
2024-04-02 05:30:00,2298.0,2286.7,2298.0,2277.05,1221495,2024-04
