date,open,close,high,low,volume,month
2023-11-01 05:30:00,430.0,428.1,431.1,425.5,7990245,2023-11
2023-11-02 05:30:00,430.05,431.15,432.7,428.65,8152031,2023-11
2023-11-03 05:30:00,432.8,433.25,434.4,431.1,13802600,2023-11
2023-11-06 05:30:00,433.5,435.35,436.8,432.55,7308229,2023-11
2023-11-07 05:30:00,434.9,432.7,434.9,432.15,5124012,2023-11
2023-11-08 05:30:00,433.15,436.95,437.5,432.3,6979849,2023-11
2023-11-09 05:30:00,437.8,434.4,438.0,433.9,7785767,2023-11
2023-11-10 05:30:00,434.4,436.55,438.0,432.5,4079205,2023-11
2023-11-12 05:30:00,438.85,438.45,439.2,438.0,1181310,2023-11
2023-11-13 05:30:00,438.4,436.0,438.4,435.0,3744754,2023-11
2023-11-15 05:30:00,438.1,441.95,442.5,437.5,7436428,2023-11
2023-11-16 05:30:00,441.95,438.65,444.5,437.6,10857863,2023-11
2023-11-17 05:30:00,439.25,439.25,441.5,438.3,6655278,2023-11
2023-11-20 05:30:00,439.85,436.8,440.3,434.5,4335388,2023-11
2023-11-21 05:30:00,437.15,436.25,439.3,435.5,5997810,2023-11
2023-11-22 05:30:00,437.0,439.7,440.4,434.8,4886687,2023-11
2023-11-23 05:30:00,440.95,440.35,442.25,438.25,6366606,2023-11
2023-11-24 05:30:00,441.0,437.8,442.25,436.85,6821878,2023-11
2023-11-28 05:30:00,438.0,435.25,439.0,434.9,8745691,2023-11
2023-11-29 05:30:00,436.0,437.2,438.5,434.15,13785216,2023-11
2023-11-30 05:30:00,436.7,435.8,438.45,434.5,15127505,2023-11
2023-12-01 05:30:00,437.9,449.8,450.95,437.4,19336856,2023-12
2023-12-04 05:30:00,455.0,454.05,456.4,451.0,12800220,2023-12
2023-12-05 05:30:00,455.0,451.75,457.8,450.1,12136292,2023-12
2023-12-06 05:30:00,453.9,463.25,464.5,452.1,20417559,2023-12
2023-12-07 05:30:00,464.75,458.1,464.8,457.4,11310918,2023-12
2023-12-08 05:30:00,459.95,449.15,461.6,448.5,18667895,2023-12
2023-12-11 05:30:00,451.5,452.45,453.6,449.3,6599973,2023-12
2023-12-12 05:30:00,454.2,453.1,460.0,452.35,10158101,2023-12
2023-12-13 05:30:00,456.3,455.65,458.85,453.1,11283868,2023-12
2023-12-14 05:30:00,460.0,460.1,461.0,449.45,14370803,2023-12
2023-12-15 05:30:00,461.9,458.2,462.95,455.0,15789845,2023-12
2023-12-18 05:30:00,455.0,451.65,456.0,450.35,12027620,2023-12
2023-12-19 05:30:00,453.35,456.1,458.0,452.05,10268755,2023-12
2023-12-20 05:30:00,459.0,451.0,459.25,449.3,10367665,2023-12
2023-12-21 05:30:00,449.0,451.45,453.75,444.45,11154625,2023-12
2023-12-22 05:30:00,453.0,455.2,455.9,450.55,11026317,2023-12
2023-12-26 05:30:00,456.05,456.45,458.9,454.7,5871301,2023-12
2023-12-27 05:30:00,457.0,457.1,458.5,453.75,7543383,2023-12
2023-12-28 05:30:00,457.2,464.1,464.7,456.1,20696101,2023-12
2023-12-29 05:30:00,464.1,462.1,467.9,461.35,12888266,2023-12
2024-01-01 05:30:00,463.5,468.05,469.95,462.65,9346277,2024-01
2024-01-02 05:30:00,470.0,470.35,471.35,463.6,10519771,2024-01
2024-01-03 05:30:00,470.25,477.25,480.7,469.35,24036012,2024-01
2024-01-04 05:30:00,480.0,476.4,481.45,474.2,11786959,2024-01
2024-01-05 05:30:00,479.4,473.95,479.4,472.0,9209405,2024-01
2024-01-08 05:30:00,475.0,465.5,475.5,464.55,8003177,2024-01
2024-01-09 05:30:00,467.5,464.55,469.95,463.65,5696780,2024-01
2024-01-10 05:30:00,464.55,463.3,466.75,460.05,5896123,2024-01
2024-01-11 05:30:00,464.1,462.65,466.55,461.1,6534775,2024-01
2024-01-12 05:30:00,463.25,466.7,467.7,460.35,9354326,2024-01
2024-01-15 05:30:00,470.0,467.6,470.5,466.1,6902156,2024-01
2024-01-16 05:30:00,467.8,472.3,475.0,464.25,12066347,2024-01
2024-01-17 05:30:00,471.4,466.6,477.0,465.2,11108698,2024-01
2024-01-18 05:30:00,465.25,465.5,467.85,454.55,9143784,2024-01
2024-01-19 05:30:00,468.55,471.5,473.0,466.4,12203322,2024-01
2024-01-20 05:30:00,473.4,468.4,475.0,468.0,3296407,2024-01
2024-01-23 05:30:00,473.75,459.3,473.75,456.4,8404513,2024-01
2024-01-24 05:30:00,460.1,463.6,467.4,458.1,21626183,2024-01
2024-01-25 05:30:00,463.55,455.65,464.95,452.1,19677700,2024-01
2024-01-29 05:30:00,455.9,449.8,457.25,447.5,17869152,2024-01
2024-01-30 05:30:00,447.0,438.05,453.7,437.4,43514448,2024-01
2024-01-31 05:30:00,440.0,441.55,442.5,438.7,19882944,2024-01
2024-02-01 05:30:00,442.0,442.9,447.75,439.3,19165409,2024-02
2024-02-02 05:30:00,445.0,440.1,447.2,439.5,17156021,2024-02
2024-02-05 05:30:00,442.0,438.05,443.65,436.55,12041897,2024-02
2024-02-06 05:30:00,440.0,431.4,440.9,429.5,18764371,2024-02
2024-02-07 05:30:00,435.0,431.8,435.0,430.8,12880824,2024-02
2024-02-08 05:30:00,429.0,414.55,429.1,408.6,48183882,2024-02
2024-02-09 05:30:00,410.1,415.5,424.2,408.6,32283965,2024-02
2024-02-12 05:30:00,417.55,406.85,418.0,406.05,10906914,2024-02
2024-02-13 05:30:00,406.9,406.75,410.8,403.3,15606705,2024-02
2024-02-14 05:30:00,406.0,411.55,412.25,404.4,12150077,2024-02
2024-02-15 05:30:00,413.0,403.9,414.55,403.15,20383983,2024-02
2024-02-16 05:30:00,405.0,404.6,409.55,399.4,37518847,2024-02
2024-02-19 05:30:00,405.0,409.25,412.75,404.6,16949793,2024-02
2024-02-20 05:30:00,410.45,406.1,410.45,404.3,14084218,2024-02
2024-02-21 05:30:00,407.0,403.35,410.1,401.3,19414653,2024-02
2024-02-22 05:30:00,406.9,414.45,415.15,403.45,18604659,2024-02
2024-02-23 05:30:00,415.9,411.4,415.9,410.5,11147636,2024-02
2024-02-26 05:30:00,411.1,409.2,413.05,407.3,7982145,2024-02
2024-02-27 05:30:00,410.0,411.15,412.75,408.55,7783743,2024-02
