date,open,close,high,low,volume,month
2023-11-01 05:30:00,2947.45,2895.3,2983.15,2871.05,3875595,2023-11
2023-11-02 05:30:00,2935.0,2918.1,2937.85,2903.2,1451606,2023-11
2023-11-03 05:30:00,2934.0,2911.25,2948.05,2905.0,1136175,2023-11
2023-11-06 05:30:00,2933.0,2975.45,2979.0,2927.25,1235499,2023-11
2023-11-07 05:30:00,2970.0,2961.3,2983.6,2956.1,1112206,2023-11
2023-11-08 05:30:00,2974.7,2996.45,3002.75,2961.0,1013438,2023-11
2023-11-09 05:30:00,3003.0,3024.85,3028.7,2997.0,1719911,2023-11
2023-11-10 05:30:00,3021.05,3033.25,3044.0,3005.25,947753,2023-11
2023-11-12 05:30:00,3054.95,3052.0,3060.0,3044.0,256389,2023-11
2023-11-13 05:30:00,3050.0,3048.5,3054.35,3031.65,531769,2023-11
2023-11-15 05:30:00,3062.35,3064.95,3071.05,3055.0,1160184,2023-11
2023-11-16 05:30:00,3057.95,3051.15,3082.1,3045.0,1597607,2023-11
2023-11-17 05:30:00,3050.0,3109.0,3115.45,3045.15,1325050,2023-11
2023-11-20 05:30:00,3095.1,3088.8,3111.95,3076.2,1231164,2023-11
2023-11-21 05:30:00,3088.5,3074.85,3099.0,3062.45,1884782,2023-11
2023-11-22 05:30:00,3074.85,3082.3,3088.65,3062.5,1104208,2023-11
2023-11-23 05:30:00,3080.0,3045.65,3088.0,3031.05,1514688,2023-11
2023-11-24 05:30:00,3050.0,3054.25,3067.0,3039.6,915121,2023-11
2023-11-28 05:30:00,3054.0,3050.0,3059.15,3035.0,1210508,2023-11
2023-11-29 05:30:00,3050.0,3083.75,3089.9,3049.0,1801107,2023-11
2023-11-30 05:30:00,3076.3,3109.2,3124.55,3058.7,3131624,2023-11
2023-12-01 05:30:00,3129.95,3190.65,3197.95,3121.05,2112908,2023-12
2023-12-04 05:30:00,3285.0,3313.55,3347.55,3250.0,3095974,2023-12
2023-12-05 05:30:00,3319.05,3315.45,3325.0,3279.05,1659309,2023-12
2023-12-06 05:30:00,3330.0,3392.3,3401.0,3321.0,2057233,2023-12
2023-12-07 05:30:00,3392.3,3355.6,3409.9,3337.05,2128823,2023-12
2023-12-08 05:30:00,3377.0,3378.45,3430.0,3366.0,2428891,2023-12
