date,open,close,high,low,volume,month
2023-11-01 05:30:00,10390.1,10227.8,10422.2,10188.7,699116,2023-11
2023-11-02 05:30:00,10290.3,10303.6,10345.0,10201.0,569194,2023-11
2023-11-03 05:30:00,10318.0,10276.3,10370.0,10241.0,517582,2023-11
2023-11-06 05:30:00,10339.0,10284.8,10339.0,10252.0,490459,2023-11
2023-11-07 05:30:00,10300.0,10253.3,10326.0,10235.8,264935,2023-11
2023-11-08 05:30:00,10320.0,10322.3,10340.5,10260.6,287006,2023-11
2023-11-09 05:30:00,10350.0,10400.3,10449.6,10316.8,310536,2023-11
2023-11-10 05:30:00,10375.0,10388.8,10416.4,10320.0,206395,2023-11
2023-11-12 05:30:00,10450.0,10431.4,10495.0,10415.2,27259,2023-11
2023-11-13 05:30:00,10429.0,10398.4,10429.0,10363.7,261891,2023-11
2023-11-15 05:30:00,10497.0,10456.0,10497.0,10375.0,436538,2023-11
2023-11-16 05:30:00,10480.0,10484.5,10543.7,10409.2,488715,2023-11
2023-11-17 05:30:00,10500.0,10523.5,10606.8,10499.2,403772,2023-11
2023-11-20 05:30:00,10500.0,10566.2,10593.3,10500.0,234246,2023-11
2023-11-21 05:30:00,10619.0,10535.2,10619.0,10500.0,312242,2023-11
2023-11-22 05:30:00,10550.0,10494.5,10551.2,10420.0,378891,2023-11
2023-11-23 05:30:00,10487.8,10488.5,10525.0,10394.0,453820,2023-11
2023-11-24 05:30:00,10506.0,10515.7,10566.5,10462.0,380306,2023-11
2023-11-28 05:30:00,10540.0,10537.5,10556.4,10506.0,268026,2023-11
2023-11-29 05:30:00,10570.0,10599.2,10634.5,10525.7,343341,2023-11
2023-11-30 05:30:00,10581.0,10608.7,10649.0,10546.1,665660,2023-11
2023-12-01 05:30:00,10608.0,10585.7,10759.0,10533.0,591519,2023-12
2023-12-04 05:30:00,10695.0,10599.5,10695.1,10425.0,625235,2023-12
2023-12-05 05:30:00,10650.9,10721.9,10770.0,10563.4,580996,2023-12
2023-12-06 05:30:00,10721.9,10625.8,10749.0,10590.0,464163,2023-12
2023-12-07 05:30:00,10790.0,10696.7,10932.8,10635.0,704413,2023-12
2023-12-08 05:30:00,10730.0,10618.5,10748.0,10551.0,548373,2023-12
2023-12-11 05:30:00,10630.0,10541.8,10638.0,10500.0,579749,2023-12
2023-12-12 05:30:00,10620.0,10338.4,10624.0,10301.1,1088687,2023-12
2023-12-13 05:30:00,10360.0,10380.0,10412.9,10260.0,603469,2023-12
2023-12-14 05:30:00,10440.0,10353.2,10495.0,10312.3,635475,2023-12
2023-12-15 05:30:00,10459.0,10286.4,10476.8,9832.6,1244681,2023-12
2023-12-18 05:30:00,10295.0,10319.6,10350.9,10226.2,652498,2023-12
2023-12-19 05:30:00,10319.6,10233.6,10377.0,10206.2,585734,2023-12
2023-12-20 05:30:00,10240.0,10081.2,10309.0,9990.0,964051,2023-12
2023-12-21 05:30:00,10000.0,10012.8,10099.2,9900.0,739806,2023-12
2023-12-22 05:30:00,10050.0,10217.2,10318.3,10030.0,652545,2023-12
2023-12-26 05:30:00,10270.0,10270.7,10281.2,10114.7,395273,2023-12
2023-12-27 05:30:00,10286.0,10288.5,10305.3,10230.0,397675,2023-12
2023-12-28 05:30:00,10311.0,10271.6,10311.0,10187.0,584234,2023-12
2023-12-29 05:30:00,10280.5,10302.3,10396.7,10273.0,705227,2023-12
2024-01-01 05:30:00,10345.0,10283.3,10345.0,10214.7,411724,2024-01
2024-01-02 05:30:00,10283.3,10197.8,10294.7,10151.0,776837,2024-01
2024-01-03 05:30:00,10200.0,10077.7,10210.0,10065.0,521046,2024-01
2024-01-04 05:30:00,10100.0,10015.3,10120.0,9985.55,711733,2024-01
2024-01-05 05:30:00,10010.7,10017.0,10075.0,9970.0,673131,2024-01
2024-01-08 05:30:00,10005.0,9946.7,10129.0,9911.9,600153,2024-01
2024-01-09 05:30:00,9975.0,10024.1,10042.7,9890.0,666469,2024-01
2024-01-10 05:30:00,10050.0,10010.2,10050.8,9950.0,481699,2024-01
2024-01-11 05:30:00,10025.1,10011.1,10124.1,10000.0,1024815,2024-01
2024-01-12 05:30:00,10025.0,9965.65,10045.0,9935.95,850190,2024-01
2024-01-15 05:30:00,9985.1,10086.9,10098.8,9948.0,463380,2024-01
2024-01-16 05:30:00,10086.8,10183.5,10240.0,10060.0,536823,2024-01
2024-01-17 05:30:00,10124.0,10051.7,10161.8,9996.45,610250,2024-01
2024-01-18 05:30:00,9946.05,9924.5,10050.0,9737.65,614860,2024-01
2024-01-19 05:30:00,9960.0,10037.7,10051.7,9949.05,377018,2024-01
2024-01-20 05:30:00,10037.7,9972.55,10067.0,9938.95,92601,2024-01
2024-01-23 05:30:00,9862.0,9860.45,9973.0,9832.1,956269,2024-01
2024-01-24 05:30:00,9860.0,9988.2,10000.0,9755.0,459092,2024-01
2024-01-25 05:30:00,9988.2,9881.0,9999.8,9816.55,718817,2024-01
2024-01-29 05:30:00,9931.15,9991.4,10035.0,9875.05,446516,2024-01
2024-01-30 05:30:00,10010.8,9951.65,10033.5,9931.5,399869,2024-01
2024-01-31 05:30:00,9959.3,10186.9,10235.6,9913.0,997024,2024-01
