date,open,close,high,low,volume,month
2023-11-01 05:30:00,186.15,186.7,188.8,185.05,9167869,2023-11
2023-11-02 05:30:00,187.0,186.2,187.65,185.75,11471209,2023-11
2023-11-03 05:30:00,186.65,190.0,190.65,185.8,7464912,2023-11
2023-11-06 05:30:00,190.2,193.3,194.2,189.55,8962124,2023-11
2023-11-07 05:30:00,193.4,193.2,198.0,192.35,13921916,2023-11
2023-11-08 05:30:00,193.7,195.35,196.55,192.3,10186886,2023-11
2023-11-09 05:30:00,196.5,192.7,196.7,192.2,5303833,2023-11
2023-11-10 05:30:00,192.7,195.9,196.5,192.7,6025889,2023-11
2023-11-12 05:30:00,198.8,196.75,198.8,195.9,2988611,2023-11
2023-11-13 05:30:00,195.9,195.8,197.3,194.1,11181086,2023-11
2023-11-15 05:30:00,198.5,199.5,203.0,197.65,19769385,2023-11
2023-11-16 05:30:00,202.5,201.8,203.4,201.0,18629240,2023-11
2023-11-17 05:30:00,200.85,196.35,201.25,195.55,13199928,2023-11
2023-11-20 05:30:00,198.0,197.85,198.5,197.0,6423265,2023-11
2023-11-21 05:30:00,193.0,191.2,193.95,191.0,10720353,2023-11
2023-11-22 05:30:00,191.2,191.0,191.85,189.75,7538825,2023-11
2023-11-23 05:30:00,191.0,190.65,191.75,189.6,6541617,2023-11
2023-11-24 05:30:00,190.85,188.85,191.85,188.15,5751331,2023-11
2023-11-28 05:30:00,188.85,193.95,194.45,188.4,9277764,2023-11
2023-11-29 05:30:00,195.5,192.0,195.5,191.7,8791333,2023-11
2023-11-30 05:30:00,192.65,194.95,195.65,192.05,14965403,2023-11
2023-12-01 05:30:00,195.25,194.55,198.25,194.25,9935740,2023-12
2023-12-04 05:30:00,196.5,202.05,205.9,196.05,28615290,2023-12
2023-12-05 05:30:00,202.2,202.05,203.95,199.15,14557746,2023-12
2023-12-06 05:30:00,203.75,201.95,203.75,199.1,12662213,2023-12
2023-12-07 05:30:00,200.9,198.9,200.9,196.05,16425880,2023-12
2023-12-08 05:30:00,199.85,195.95,200.3,194.1,10414387,2023-12
2023-12-11 05:30:00,197.05,197.8,200.85,194.25,10108266,2023-12
2023-12-12 05:30:00,196.95,195.4,197.8,194.55,10719911,2023-12
2023-12-13 05:30:00,195.4,193.15,195.4,192.05,10892122,2023-12
2023-12-14 05:30:00,195.9,195.95,196.3,193.25,15257294,2023-12
2023-12-15 05:30:00,197.25,201.05,201.95,196.85,22863981,2023-12
2023-12-18 05:30:00,201.05,199.0,201.65,197.35,8061011,2023-12
2023-12-19 05:30:00,202.0,200.3,203.55,199.3,16739742,2023-12
2023-12-20 05:30:00,201.75,203.2,212.0,200.95,57762576,2023-12
2023-12-21 05:30:00,203.95,202.65,206.75,201.2,22823936,2023-12
2023-12-22 05:30:00,204.0,203.95,204.5,201.8,9910694,2023-12
2023-12-26 05:30:00,204.5,207.35,208.5,203.65,17052969,2023-12
2023-12-27 05:30:00,209.5,205.55,209.9,204.5,20361303,2023-12
2023-12-28 05:30:00,206.5,208.3,208.9,205.35,22010872,2023-12
2023-12-29 05:30:00,208.0,205.05,208.0,204.25,12171663,2023-12
2024-01-01 05:30:00,206.0,205.35,207.1,204.75,4820168,2024-01
2024-01-02 05:30:00,205.35,207.05,210.75,203.65,21141219,2024-01
2024-01-03 05:30:00,205.5,208.25,210.45,204.5,11650902,2024-01
2024-01-04 05:30:00,210.5,214.65,215.4,209.3,31054419,2024-01
2024-01-05 05:30:00,215.45,216.45,217.5,213.05,20743811,2024-01
2024-01-08 05:30:00,218.0,217.95,220.8,217.1,19310595,2024-01
2024-01-09 05:30:00,221.0,216.65,221.45,215.95,11951525,2024-01
2024-01-10 05:30:00,215.0,212.1,215.0,209.7,16500666,2024-01
2024-01-11 05:30:00,214.0,211.85,214.0,210.85,12586419,2024-01
2024-01-12 05:30:00,213.8,223.4,224.75,212.35,39228118,2024-01
2024-01-15 05:30:00,228.5,233.5,235.45,224.65,57884916,2024-01
2024-01-16 05:30:00,234.95,235.1,238.95,231.1,34505065,2024-01
2024-01-17 05:30:00,232.2,232.05,237.25,230.7,26010955,2024-01
2024-01-18 05:30:00,230.05,233.55,234.5,224.65,19232183,2024-01
2024-01-19 05:30:00,236.0,242.05,242.55,235.0,26391844,2024-01
2024-01-20 05:30:00,243.0,242.05,245.45,240.45,15133785,2024-01
2024-01-23 05:30:00,245.0,229.9,245.65,228.0,20282617,2024-01
2024-01-24 05:30:00,231.0,234.35,235.0,228.1,14458601,2024-01
2024-01-25 05:30:00,235.0,234.05,237.5,232.8,18291957,2024-01
2024-01-29 05:30:00,241.0,252.5,254.95,239.1,54127939,2024-01
2024-01-30 05:30:00,256.5,249.2,263.3,248.65,51491099,2024-01
2024-01-31 05:30:00,250.45,252.25,254.35,246.3,33293192,2024-01
2024-02-01 05:30:00,254.65,247.65,254.65,245.45,29758133,2024-02
2024-02-02 05:30:00,250.0,257.25,260.0,249.0,30482663,2024-02
2024-02-05 05:30:00,260.05,262.95,268.05,255.1,34001868,2024-02
2024-02-06 05:30:00,265.35,272.3,273.4,260.2,36708949,2024-02
2024-02-07 05:30:00,275.0,271.9,275.65,267.55,23756939,2024-02
2024-02-08 05:30:00,273.05,273.15,275.65,269.1,25252940,2024-02
2024-02-09 05:30:00,275.0,267.55,275.65,259.15,26743792,2024-02
2024-02-12 05:30:00,261.95,257.9,266.6,256.8,30906374,2024-02
2024-02-13 05:30:00,258.0,259.5,262.4,254.7,20711842,2024-02
2024-02-14 05:30:00,258.0,268.85,269.65,256.0,36168962,2024-02
2024-02-15 05:30:00,271.65,277.3,279.85,269.0,32831246,2024-02
2024-02-16 05:30:00,275.15,274.7,278.0,270.35,27044984,2024-02
2024-02-19 05:30:00,274.7,274.65,279.05,272.4,15322964,2024-02
2024-02-20 05:30:00,274.8,276.6,281.15,274.05,18968785,2024-02
2024-02-21 05:30:00,276.0,272.95,281.1,271.6,16340579,2024-02
2024-02-22 05:30:00,273.85,274.7,276.0,268.5,16791453,2024-02
2024-02-23 05:30:00,274.9,272.2,276.0,271.1,9464646,2024-02
2024-02-26 05:30:00,271.9,269.85,271.9,267.8,8661999,2024-02
2024-02-27 05:30:00,268.05,269.35,270.2,264.95,19582774,2024-02
2024-02-28 05:30:00,270.0,265.75,270.3,264.6,9118196,2024-02
2024-02-29 05:30:00,265.0,264.6,266.35,261.5,17179832,2024-02
2024-03-01 05:30:00,266.5,270.55,272.95,266.5,12930057,2024-03
2024-03-02 05:30:00,272.0,271.9,272.9,271.35,864693,2024-03
2024-03-04 05:30:00,272.75,279.2,280.55,272.5,22280353,2024-03
2024-03-05 05:30:00,280.0,283.75,284.95,276.65,18544484,2024-03
2024-03-06 05:30:00,284.3,280.25,284.3,273.55,16807149,2024-03
2024-03-07 05:30:00,280.25,278.1,284.35,277.25,11386963,2024-03
2024-03-11 05:30:00,278.1,274.0,280.5,273.2,10684598,2024-03
2024-03-12 05:30:00,274.0,270.4,275.6,269.05,13780189,2024-03
2024-03-13 05:30:00,270.8,255.35,271.0,252.75,20079496,2024-03
2024-03-14 05:30:00,252.5,263.25,264.35,251.2,21404057,2024-03
2024-03-15 05:30:00,263.95,258.75,266.4,248.9,34961065,2024-03
2024-03-18 05:30:00,258.95,261.6,263.05,257.55,9246173,2024-03
2024-03-19 05:30:00,262.0,259.25,263.95,256.65,8758348,2024-03
2024-03-20 05:30:00,259.45,263.85,264.6,257.2,10484778,2024-03
2024-03-21 05:30:00,264.7,262.95,266.95,262.35,12163200,2024-03
2024-03-22 05:30:00,262.95,263.25,265.25,258.45,13025089,2024-03
2024-03-26 05:30:00,261.65,265.5,267.9,259.3,10830926,2024-03
2024-03-27 05:30:00,265.0,261.75,268.2,259.65,28563001,2024-03
2024-03-28 05:30:00,262.45,268.05,271.0,261.95,18888942,2024-03
2024-04-01 05:30:00,268.05,269.9,271.5,267.8,6440401,2024-04
2024-04-02 05:30:00,270.1,272.5,274.05,269.45,14439120,2024-04
2024-04-03 05:30:00,275.05,275.35,279.0,273.85,22600929,2024-04
2024-04-04 05:30:00,278.65,269.0,278.65,265.35,24624383,2024-04
2024-04-05 05:30:00,267.85,267.95,271.9,266.5,13029904,2024-04
2024-04-08 05:30:00,267.55,270.4,272.0,266.6,13011300,2024-04
2024-04-09 05:30:00,270.0,268.95,272.65,268.0,13173933,2024-04
2024-04-10 05:30:00,269.95,272.0,273.2,269.15,11137195,2024-04
2024-04-12 05:30:00,271.9,265.7,272.5,265.0,21894584,2024-04
2024-04-15 05:30:00,269.1,279.85,282.95,267.1,75063828,2024-04
2024-04-16 05:30:00,277.0,283.15,292.55,275.25,79082544,2024-04
2024-04-18 05:30:00,286.0,274.15,287.7,273.35,34136482,2024-04
2024-04-19 05:30:00,276.75,275.25,280.8,274.1,32658724,2024-04
2024-04-22 05:30:00,277.3,276.8,278.0,273.75,14184019,2024-04
2024-04-23 05:30:00,276.85,276.8,278.75,275.55,8799147,2024-04
2024-04-24 05:30:00,277.6,279.35,280.4,276.3,9253985,2024-04
2024-04-25 05:30:00,279.35,281.95,282.6,278.0,17050557,2024-04
2024-04-26 05:30:00,283.0,282.9,286.15,282.2,11070290,2024-04
2024-04-29 05:30:00,283.95,283.2,285.25,282.15,8952420,2024-04
2024-04-30 05:30:00,284.5,282.85,286.35,281.45,10658906,2024-04
2024-05-02 05:30:00,281.0,282.8,284.6,279.05,15677336,2024-05
2024-05-03 05:30:00,284.0,286.1,292.95,284.0,28913016,2024-05
2024-05-06 05:30:00,288.7,282.15,288.75,275.25,15491865,2024-05
2024-05-07 05:30:00,283.9,273.6,285.0,272.0,13179001,2024-05
2024-05-08 05:30:00,273.5,276.85,280.25,272.35,12797721,2024-05
2024-05-09 05:30:00,277.25,265.25,278.55,263.2,14869187,2024-05
2024-05-10 05:30:00,267.0,270.25,271.2,264.45,9530738,2024-05
2024-05-13 05:30:00,271.9,266.9,271.9,262.05,7163239,2024-05
2024-05-14 05:30:00,267.95,272.9,274.65,266.45,9123849,2024-05
2024-05-15 05:30:00,274.5,273.45,276.0,272.5,6368662,2024-05
2024-05-16 05:30:00,276.0,277.65,279.35,273.8,23757779,2024-05
2024-05-17 05:30:00,278.8,277.45,283.4,276.6,11529157,2024-05
2024-05-18 05:30:00,280.3,279.0,281.7,278.45,2010993,2024-05
2024-05-21 05:30:00,281.1,280.1,284.0,278.35,17559555,2024-05
2024-05-22 05:30:00,284.0,278.0,284.0,276.9,17935064,2024-05
2024-05-23 05:30:00,279.95,283.45,284.55,279.1,17719819,2024-05
2024-05-24 05:30:00,284.0,283.25,285.95,281.85,11041667,2024-05
2024-05-27 05:30:00,284.0,277.65,284.2,275.7,13719808,2024-05
2024-05-28 05:30:00,279.3,274.3,279.3,273.05,6927361,2024-05
2024-05-29 05:30:00,273.8,271.85,273.8,270.25,8327205,2024-05
2024-05-30 05:30:00,273.0,266.7,275.1,265.0,15390964,2024-05
2024-05-31 05:30:00,268.45,264.35,268.45,263.0,24167379,2024-05
2024-06-03 05:30:00,277.95,284.1,286.55,273.2,30195397,2024-06
2024-06-04 05:30:00,285.0,236.3,285.0,223.0,72779900,2024-06
2024-06-05 05:30:00,247.0,247.5,249.75,230.45,37078551,2024-06
2024-06-06 05:30:00,254.0,252.3,259.5,249.25,30881233,2024-06
2024-06-07 05:30:00,253.5,260.4,260.8,251.8,22010688,2024-06
2024-06-10 05:30:00,264.0,259.15,264.0,258.05,14138524,2024-06
2024-06-11 05:30:00,266.85,273.55,275.0,265.25,47270206,2024-06
2024-06-12 05:30:00,278.0,275.5,279.1,274.6,20560662,2024-06
