date,open,close,high,low,volume,month
2023-11-01 05:30:00,202.35,200.95,202.35,200.5,5598615,2023-11
2023-11-02 05:30:00,201.75,203.1,203.65,200.9,12924797,2023-11
2023-11-03 05:30:00,203.4,204.4,206.5,203.1,8684015,2023-11
2023-11-06 05:30:00,205.0,208.2,208.95,204.95,9804415,2023-11
2023-11-07 05:30:00,208.2,208.0,209.1,205.75,10730361,2023-11
2023-11-08 05:30:00,209.0,207.0,209.6,206.65,7435543,2023-11
2023-11-09 05:30:00,207.3,209.8,210.5,206.1,13777877,2023-11
2023-11-10 05:30:00,210.5,211.15,213.0,209.6,12066023,2023-11
2023-11-12 05:30:00,213.6,212.0,213.7,211.7,1008214,2023-11
2023-11-13 05:30:00,212.0,212.3,215.1,210.7,11352269,2023-11
2023-11-15 05:30:00,215.0,210.15,215.0,209.8,19182861,2023-11
2023-11-16 05:30:00,206.7,207.2,208.85,205.7,27533260,2023-11
2023-11-17 05:30:00,207.7,209.5,210.7,206.9,16705395,2023-11
2023-11-20 05:30:00,210.1,209.3,211.2,208.85,11156900,2023-11
2023-11-21 05:30:00,210.0,208.95,210.15,207.95,9608081,2023-11
2023-11-22 05:30:00,208.2,211.6,212.6,208.2,13079580,2023-11
2023-11-23 05:30:00,212.05,210.9,213.1,209.25,11382709,2023-11
2023-11-24 05:30:00,211.3,210.45,212.1,209.5,7250200,2023-11
2023-11-28 05:30:00,214.45,210.2,214.45,209.5,15629209,2023-11
2023-11-29 05:30:00,210.3,211.05,211.45,209.1,10062023,2023-11
2023-11-30 05:30:00,210.4,208.95,212.8,208.25,60354322,2023-11
2023-12-01 05:30:00,211.5,210.2,212.45,209.45,20719909,2023-12
2023-12-04 05:30:00,211.7,212.9,214.1,211.7,27914088,2023-12
2023-12-05 05:30:00,213.7,222.3,223.25,211.55,40709207,2023-12
2023-12-06 05:30:00,226.0,224.4,226.25,222.5,29544730,2023-12
2023-12-07 05:30:00,225.0,230.0,232.4,224.25,24534268,2023-12
2023-12-08 05:30:00,231.8,228.6,233.4,226.45,22206320,2023-12
2023-12-11 05:30:00,228.0,230.95,232.9,226.55,19106395,2023-12
2023-12-12 05:30:00,230.0,231.35,233.3,229.5,14355329,2023-12
2023-12-13 05:30:00,231.0,236.95,237.5,230.6,26878281,2023-12
2023-12-14 05:30:00,237.25,232.1,237.6,231.1,29972018,2023-12
2023-12-15 05:30:00,235.0,237.35,238.1,227.15,41341690,2023-12
2023-12-18 05:30:00,236.9,231.85,236.9,231.45,29051897,2023-12
2023-12-19 05:30:00,232.15,233.55,234.4,230.85,12612164,2023-12
2023-12-20 05:30:00,234.95,227.15,235.4,226.2,20400245,2023-12
2023-12-21 05:30:00,224.45,232.35,233.2,222.7,17755207,2023-12
2023-12-22 05:30:00,233.0,231.75,234.2,230.5,9735375,2023-12
2023-12-26 05:30:00,232.0,233.35,235.8,231.05,6772092,2023-12
2023-12-27 05:30:00,235.0,234.05,235.85,232.5,10231881,2023-12
2023-12-28 05:30:00,235.1,239.1,239.95,234.1,39164340,2023-12
2023-12-29 05:30:00,237.8,237.2,238.25,234.75,12665999,2023-12
2024-01-01 05:30:00,237.9,238.25,239.5,236.4,5952776,2024-01
2024-01-02 05:30:00,240.0,237.85,240.1,236.15,9128513,2024-01
2024-01-03 05:30:00,236.0,237.05,238.7,234.6,8284439,2024-01
2024-01-04 05:30:00,238.0,241.45,243.1,237.05,19663959,2024-01
2024-01-05 05:30:00,242.0,241.25,245.0,239.3,16345257,2024-01
2024-01-08 05:30:00,242.4,242.35,245.25,240.4,13585746,2024-01
2024-01-09 05:30:00,242.6,242.3,244.65,241.5,8688409,2024-01
2024-01-10 05:30:00,241.0,239.15,242.1,238.0,16872195,2024-01
2024-01-11 05:30:00,240.25,241.95,243.1,239.2,18812468,2024-01
2024-01-12 05:30:00,242.5,239.5,242.65,238.8,11296498,2024-01
2024-01-15 05:30:00,240.4,241.15,241.5,237.0,12597366,2024-01
2024-01-16 05:30:00,241.65,239.05,242.4,237.7,7478450,2024-01
