date,open,close,high,low,volume,month
2023-11-01 05:30:00,1144.58,1148.7,1158.75,1137.6,10309190,2023-11
2023-11-02 05:30:00,1156.97,1160.1,1162.15,1153.97,10562104,2023-11
2023-11-03 05:30:00,1163.6,1159.85,1167.47,1157.88,8850156,2023-11
2023-11-06 05:30:00,1166.15,1169.5,1170.0,1162.8,10647304,2023-11
2023-11-07 05:30:00,1167.03,1161.9,1169.55,1159.78,6960204,2023-11
2023-11-08 05:30:00,1166.0,1167.95,1170.5,1160.88,7884494,2023-11
2023-11-09 05:30:00,1167.93,1155.28,1167.95,1152.1,14513610,2023-11
2023-11-10 05:30:00,1152.78,1157.45,1158.18,1149.03,7734954,2023-11
2023-11-12 05:30:00,1163.03,1165.33,1166.0,1161.25,1419844,2023-11
2023-11-13 05:30:00,1161.45,1157.3,1162.3,1155.85,3854810,2023-11
2023-11-15 05:30:00,1170.0,1178.22,1180.97,1163.5,12220648,2023-11
2023-11-16 05:30:00,1175.55,1180.35,1187.08,1173.47,13134910,2023-11
2023-11-17 05:30:00,1176.45,1177.78,1186.63,1176.03,7758634,2023-11
2023-11-20 05:30:00,1174.28,1174.68,1179.2,1168.2,4490186,2023-11
2023-11-21 05:30:00,1183.0,1189.45,1194.0,1180.1,8214450,2023-11
2023-11-22 05:30:00,1187.5,1194.1,1197.22,1186.1,8534814,2023-11
2023-11-23 05:30:00,1194.1,1197.75,1200.0,1194.1,8531542,2023-11
2023-11-24 05:30:00,1195.8,1196.95,1201.3,1195.53,6749486,2023-11
2023-11-28 05:30:00,1196.95,1197.2,1199.85,1187.63,13792174,2023-11
2023-11-29 05:30:00,1204.0,1200.35,1205.97,1199.03,12531306,2023-11
2023-11-30 05:30:00,1197.35,1188.72,1200.35,1184.95,28439984,2023-11
2023-12-01 05:30:00,1189.0,1197.15,1198.2,1188.8,14342842,2023-12
2023-12-04 05:30:00,1225.0,1210.1,1225.0,1199.3,15590990,2023-12
2023-12-05 05:30:00,1219.5,1218.88,1220.43,1210.83,12693624,2023-12
2023-12-06 05:30:00,1223.55,1230.55,1236.47,1217.5,16422442,2023-12
2023-12-07 05:30:00,1230.0,1228.53,1230.47,1221.0,8142096,2023-12
2023-12-08 05:30:00,1231.93,1227.88,1238.35,1222.5,10204894,2023-12
2023-12-11 05:30:00,1228.0,1229.68,1233.8,1226.2,7066138,2023-12
2023-12-12 05:30:00,1230.0,1212.03,1232.47,1210.08,9197124,2023-12
2023-12-13 05:30:00,1211.0,1216.97,1219.18,1203.15,10031182,2023-12
2023-12-14 05:30:00,1227.0,1232.08,1237.47,1221.33,16972354,2023-12
2023-12-15 05:30:00,1239.0,1247.8,1250.0,1235.03,15932152,2023-12
2023-12-18 05:30:00,1247.8,1260.5,1267.45,1245.47,14165188,2023-12
2023-12-19 05:30:00,1277.5,1279.05,1286.95,1262.6,16820604,2023-12
2023-12-20 05:30:00,1285.53,1263.58,1299.43,1260.0,17736722,2023-12
2023-12-21 05:30:00,1263.5,1281.28,1286.75,1259.13,13765454,2023-12
2023-12-22 05:30:00,1279.8,1282.53,1290.45,1273.83,16541784,2023-12
2023-12-26 05:30:00,1284.0,1289.03,1295.97,1281.35,7465664,2023-12
2023-12-27 05:30:00,1291.0,1293.43,1299.95,1286.55,9204156,2023-12
2023-12-28 05:30:00,1294.9,1302.78,1306.0,1293.43,12302636,2023-12
2023-12-29 05:30:00,1305.55,1292.47,1307.0,1289.65,10864584,2023-12
2024-01-01 05:30:00,1290.28,1295.13,1303.43,1286.58,4030540,2024-01
2024-01-02 05:30:00,1292.5,1305.85,1307.5,1286.5,7448800,2024-01
2024-01-03 05:30:00,1305.0,1291.65,1317.0,1288.6,9037536,2024-01
2024-01-04 05:30:00,1294.0,1298.33,1304.93,1289.55,9612778,2024-01
2024-01-05 05:30:00,1301.45,1303.85,1309.93,1299.0,8086406,2024-01
2024-01-08 05:30:00,1305.0,1293.68,1315.98,1284.47,7734652,2024-01
2024-01-09 05:30:00,1300.0,1290.25,1303.4,1288.6,5403074,2024-01
2024-01-10 05:30:00,1288.5,1325.05,1329.5,1287.53,11102740,2024-01
2024-01-11 05:30:00,1329.5,1359.9,1362.5,1328.5,23725852,2024-01
2024-01-12 05:30:00,1359.9,1370.73,1373.33,1345.75,15012164,2024-01
2024-01-15 05:30:00,1375.0,1394.13,1396.45,1366.0,8610594,2024-01
2024-01-16 05:30:00,1389.98,1374.63,1396.3,1370.5,9069024,2024-01
2024-01-17 05:30:00,1359.5,1361.58,1386.28,1355.03,12197382,2024-01
2024-01-18 05:30:00,1351.4,1367.95,1371.0,1351.25,10279438,2024-01
2024-01-19 05:30:00,1376.0,1367.45,1376.0,1359.0,10422704,2024-01
2024-01-20 05:30:00,1365.0,1356.65,1383.48,1350.0,7283394,2024-01
2024-01-23 05:30:00,1371.75,1328.58,1371.75,1322.55,20055420,2024-01
2024-01-24 05:30:00,1335.23,1343.88,1349.5,1323.93,21919128,2024-01
2024-01-25 05:30:00,1342.95,1353.08,1364.15,1335.2,11808872,2024-01
2024-01-29 05:30:00,1364.5,1448.05,1452.5,1360.18,23893438,2024-01
2024-01-30 05:30:00,1459.95,1407.63,1459.98,1404.43,14093978,2024-01
2024-01-31 05:30:00,1404.0,1426.63,1434.25,1402.5,15130226,2024-01
2024-02-01 05:30:00,1435.0,1426.65,1443.35,1418.05,13349362,2024-02
2024-02-02 05:30:00,1433.18,1457.7,1474.9,1433.18,19652588,2024-02
2024-02-05 05:30:00,1460.75,1439.03,1470.5,1431.53,8814432,2024-02
2024-02-06 05:30:00,1441.85,1427.8,1441.85,1419.83,9047984,2024-02
2024-02-07 05:30:00,1435.93,1442.15,1449.5,1429.25,9296568,2024-02
2024-02-08 05:30:00,1450.0,1450.13,1459.48,1427.53,14694634,2024-02
2024-02-09 05:30:00,1454.0,1460.75,1471.98,1450.95,12556798,2024-02
2024-02-12 05:30:00,1460.75,1452.35,1461.0,1442.35,6674430,2024-02
2024-02-13 05:30:00,1455.5,1465.1,1479.0,1454.0,7715594,2024-02
2024-02-14 05:30:00,1457.5,1481.38,1483.65,1457.5,7117888,2024-02
2024-02-15 05:30:00,1483.35,1470.6,1484.73,1466.53,10006782,2024-02
2024-02-16 05:30:00,1476.48,1460.58,1477.0,1458.55,9767498,2024-02
2024-02-19 05:30:00,1462.05,1474.0,1479.5,1453.53,6729828,2024-02
2024-02-20 05:30:00,1475.03,1471.03,1475.5,1461.8,7117496,2024-02
2024-02-21 05:30:00,1474.0,1467.7,1488.53,1457.55,12720292,2024-02
2024-02-22 05:30:00,1468.15,1481.75,1484.95,1458.0,18493728,2024-02
2024-02-23 05:30:00,1489.5,1493.63,1497.55,1483.35,14438584,2024-02
2024-02-26 05:30:00,1493.55,1487.33,1494.53,1482.5,7513106,2024-02
2024-02-27 05:30:00,1483.03,1485.65,1499.95,1478.05,10826044,2024-02
2024-02-28 05:30:00,1483.0,1455.63,1491.28,1450.18,8647950,2024-02
2024-02-29 05:30:00,1465.0,1460.8,1478.98,1454.53,23628976,2024-02
2024-03-01 05:30:00,1463.5,1492.13,1500.0,1462.5,12132926,2024-03
2024-03-02 05:30:00,1492.0,1491.08,1500.45,1488.0,716300,2024-03
2024-03-04 05:30:00,1490.48,1507.4,1512.45,1487.23,10024420,2024-03
2024-03-05 05:30:00,1505.78,1500.2,1507.4,1486.05,7107668,2024-03
2024-03-06 05:30:00,1493.45,1503.0,1509.0,1478.5,7805676,2024-03
2024-03-07 05:30:00,1502.98,1478.93,1503.1,1475.55,8315726,2024-03
2024-03-11 05:30:00,1489.0,1466.6,1489.0,1463.5,11277130,2024-03
2024-03-12 05:30:00,1466.6,1475.43,1488.0,1465.03,9432678,2024-03
2024-03-13 05:30:00,1479.78,1432.18,1483.1,1427.78,13522134,2024-03
2024-03-14 05:30:00,1439.7,1431.48,1448.53,1425.5,18571102,2024-03
2024-03-15 05:30:00,1425.95,1418.23,1433.23,1412.9,19223818,2024-03
2024-03-18 05:30:00,1420.0,1439.48,1441.73,1416.53,9169392,2024-03
2024-03-19 05:30:00,1428.75,1425.25,1437.6,1417.25,8275764,2024-03
2024-03-20 05:30:00,1427.95,1443.75,1445.0,1424.03,8488806,2024-03
2024-03-21 05:30:00,1452.53,1450.98,1457.9,1444.68,13006936,2024-03
2024-03-22 05:30:00,1449.98,1455.03,1460.0,1447.35,19527608,2024-03
2024-03-26 05:30:00,1445.0,1441.58,1452.4,1439.0,11415906,2024-03
2024-03-27 05:30:00,1448.0,1492.85,1500.0,1447.0,16326644,2024-03
2024-03-28 05:30:00,1492.88,1485.85,1505.95,1478.65,21854364,2024-03
2024-04-01 05:30:00,1492.48,1484.78,1493.98,1482.5,5013880,2024-04
2024-04-02 05:30:00,1484.0,1486.95,1494.0,1475.0,8910166,2024-04
2024-04-03 05:30:00,1482.08,1471.6,1484.45,1468.9,7008292,2024-04
2024-04-04 05:30:00,1479.75,1462.93,1479.75,1450.0,14490272,2024-04
2024-04-05 05:30:00,1460.88,1460.1,1470.8,1456.0,7442298,2024-04
2024-04-08 05:30:00,1462.98,1485.98,1490.98,1461.0,8357118,2024-04
2024-04-09 05:30:00,1489.0,1463.65,1489.8,1462.5,7071414,2024-04
2024-04-10 05:30:00,1466.35,1479.58,1487.0,1466.35,9138330,2024-04
2024-04-12 05:30:00,1475.88,1467.15,1486.48,1463.08,15551012,2024-04
2024-04-15 05:30:00,1461.0,1464.83,1482.13,1446.33,12902062,2024-04
2024-04-16 05:30:00,1453.35,1465.75,1471.18,1450.93,9366184,2024-04
2024-04-18 05:30:00,1463.5,1464.33,1486.0,1459.35,19005692,2024-04
2024-04-19 05:30:00,1456.78,1470.13,1474.0,1443.03,15741778,2024-04
2024-04-22 05:30:00,1472.45,1479.85,1482.83,1467.8,10350362,2024-04
2024-04-23 05:30:00,1479.0,1459.33,1493.5,1455.55,14605554,2024-04
2024-04-24 05:30:00,1463.5,1450.18,1468.55,1449.5,10462776,2024-04
2024-04-25 05:30:00,1442.5,1459.98,1467.98,1441.5,15943926,2024-04
2024-04-26 05:30:00,1463.95,1452.55,1465.0,1450.0,9413848,2024-04
2024-04-29 05:30:00,1450.0,1465.03,1467.9,1450.0,7247974,2024-04
2024-04-30 05:30:00,1468.0,1467.0,1483.08,1462.88,11474262,2024-04
2024-05-02 05:30:00,1472.0,1466.55,1477.33,1464.13,14512646,2024-05
2024-05-03 05:30:00,1471.0,1434.0,1474.95,1416.15,17226958,2024-05
2024-05-06 05:30:00,1435.5,1419.53,1440.0,1418.0,7394208,2024-05
2024-05-07 05:30:00,1415.98,1401.48,1420.75,1392.0,14517472,2024-05
2024-05-08 05:30:00,1397.5,1418.55,1432.95,1397.5,9439002,2024-05
2024-05-09 05:30:00,1413.0,1394.13,1423.75,1390.0,11009612,2024-05
2024-05-10 05:30:00,1396.75,1407.43,1410.0,1388.08,10505096,2024-05
2024-05-13 05:30:00,1399.9,1402.7,1406.98,1384.0,8456620,2024-05
2024-05-14 05:30:00,1400.98,1420.08,1427.08,1400.03,7188300,2024-05
2024-05-15 05:30:00,1420.5,1416.28,1429.98,1413.03,5046534,2024-05
2024-05-16 05:30:00,1418.55,1425.35,1427.5,1398.03,14711774,2024-05
2024-05-17 05:30:00,1423.05,1435.7,1437.2,1413.25,10916476,2024-05
2024-05-18 05:30:00,1437.5,1434.83,1439.5,1432.7,426040,2024-05
2024-05-21 05:30:00,1425.6,1436.13,1441.83,1425.6,11176128,2024-05
2024-05-22 05:30:00,1436.28,1460.65,1468.78,1436.28,10281604,2024-05
2024-05-23 05:30:00,1458.55,1486.05,1492.23,1455.0,14608260,2024-05
2024-05-24 05:30:00,1483.63,1480.25,1488.5,1476.1,7094776,2024-05
2024-05-27 05:30:00,1480.23,1466.25,1484.9,1461.55,6629010,2024-05
2024-05-28 05:30:00,1468.0,1456.2,1478.5,1452.75,7820162,2024-05
2024-05-29 05:30:00,1446.5,1440.78,1458.0,1438.45,7383556,2024-05
2024-05-30 05:30:00,1435.5,1424.85,1440.4,1420.1,13206858,2024-05
2024-05-31 05:30:00,1431.3,1430.4,1442.25,1422.25,31069832,2024-05
2024-06-03 05:30:00,1483.0,1510.33,1514.5,1459.0,21527942,2024-06
2024-06-04 05:30:00,1498.05,1397.28,1498.05,1359.3,36709098,2024-06
2024-06-05 05:30:00,1422.0,1420.75,1431.15,1384.1,17464890,2024-06
2024-06-06 05:30:00,1435.0,1431.6,1443.7,1421.35,17855722,2024-06
2024-06-07 05:30:00,1428.5,1469.95,1472.0,1426.5,18558696,2024-06
2024-06-10 05:30:00,1469.95,1471.4,1493.35,1468.08,9251760,2024-06
2024-06-11 05:30:00,1469.0,1456.68,1473.68,1454.68,11774902,2024-06
2024-06-12 05:30:00,1457.5,1463.33,1476.0,1455.18,10081742,2024-06
2024-06-13 05:30:00,1472.0,1465.25,1472.25,1460.1,9181160,2024-06
2024-06-14 05:30:00,1470.0,1477.55,1479.68,1457.23,8157998,2024-06
2024-06-18 05:30:00,1487.35,1481.03,1487.4,1471.35,7196766,2024-06
2024-06-19 05:30:00,1487.5,1458.65,1487.5,1456.0,8725874,2024-06
2024-06-20 05:30:00,1459.0,1473.7,1482.85,1450.1,16113776,2024-06
2024-06-21 05:30:00,1473.63,1454.2,1474.7,1440.58,31170360,2024-06
2024-06-24 05:30:00,1445.53,1441.48,1449.5,1437.5,8878386,2024-06
2024-06-25 05:30:00,1443.0,1454.15,1455.93,1441.0,7045386,2024-06
2024-06-26 05:30:00,1446.05,1514.03,1518.98,1445.13,22014882,2024-06
2024-06-27 05:30:00,1513.75,1530.55,1537.5,1506.0,28383030,2024-06
2024-06-28 05:30:00,1531.03,1565.4,1581.0,1531.03,28957336,2024-06
2024-07-01 05:30:00,1562.53,1560.15,1579.4,1555.68,7724306,2024-07
2024-07-02 05:30:00,1569.5,1565.18,1573.5,1557.0,7749246,2024-07
2024-07-03 05:30:00,1566.33,1552.43,1575.0,1542.78,9049620,2024-07
2024-07-04 05:30:00,1557.0,1554.03,1567.5,1550.8,6837176,2024-07
2024-07-05 05:30:00,1553.83,1588.63,1598.5,1548.0,12269710,2024-07
2024-07-08 05:30:00,1589.0,1600.9,1608.8,1582.53,9500806,2024-07
2024-07-09 05:30:00,1597.6,1590.28,1600.5,1580.5,6960002,2024-07
2024-07-10 05:30:00,1595.0,1584.23,1597.5,1563.15,7134578,2024-07
2024-07-11 05:30:00,1587.5,1580.65,1604.25,1570.5,11940946,2024-07
2024-07-12 05:30:00,1584.5,1596.73,1605.15,1574.5,12924784,2024-07
2024-07-15 05:30:00,1604.45,1597.23,1605.85,1585.5,5329688,2024-07
