date,open,close,high,low,volume,month
2023-11-01 05:30:00,566.25,566.4,569.65,563.85,13575575,2023-11
2023-11-02 05:30:00,571.1,572.1,575.45,567.6,11148516,2023-11
2023-11-03 05:30:00,576.0,578.15,579.5,573.45,11371371,2023-11
2023-11-06 05:30:00,582.0,574.35,582.5,573.25,16499138,2023-11
2023-11-07 05:30:00,574.8,579.75,581.2,572.6,17923281,2023-11
2023-11-08 05:30:00,581.9,580.3,582.6,579.0,15434808,2023-11
2023-11-09 05:30:00,581.0,578.35,581.85,576.5,12434363,2023-11
2023-11-10 05:30:00,577.8,579.5,581.0,575.4,6773038,2023-11
2023-11-12 05:30:00,584.75,581.3,584.75,580.1,1947722,2023-11
2023-11-13 05:30:00,581.0,581.35,582.5,575.2,11282362,2023-11
2023-11-15 05:30:00,587.25,584.7,588.0,582.6,11397676,2023-11
2023-11-16 05:30:00,584.7,584.65,588.0,582.9,8622660,2023-11
2023-11-17 05:30:00,574.5,563.05,574.5,562.1,37173221,2023-11
2023-11-20 05:30:00,564.0,563.75,566.8,560.6,12714585,2023-11
2023-11-21 05:30:00,566.0,561.5,566.65,561.0,14280013,2023-11
2023-11-22 05:30:00,562.95,558.95,564.5,555.15,14909071,2023-11
2023-11-23 05:30:00,561.75,559.95,563.5,558.3,6376210,2023-11
2023-11-24 05:30:00,561.95,560.35,562.45,559.25,6529851,2023-11
2023-11-28 05:30:00,563.6,564.45,565.2,561.1,8153314,2023-11
2023-11-29 05:30:00,568.0,568.6,569.0,565.1,10299034,2023-11
2023-11-30 05:30:00,569.75,564.75,570.2,563.65,19758998,2023-11
2023-12-01 05:30:00,567.0,571.75,574.2,566.55,10614230,2023-12
2023-12-04 05:30:00,588.0,594.7,596.0,584.55,26077882,2023-12
2023-12-05 05:30:00,595.05,608.25,611.3,595.05,36430152,2023-12
2023-12-06 05:30:00,614.0,608.45,614.0,604.55,21439069,2023-12
2023-12-07 05:30:00,610.0,611.7,612.55,605.0,10725706,2023-12
2023-12-08 05:30:00,610.0,614.15,616.8,605.35,17722136,2023-12
2023-12-11 05:30:00,615.0,614.25,619.9,613.1,11706255,2023-12
2023-12-12 05:30:00,617.0,612.4,617.95,610.8,14494836,2023-12
2023-12-13 05:30:00,614.45,619.85,620.5,611.65,13977914,2023-12
2023-12-14 05:30:00,626.0,623.65,627.75,622.4,15813797,2023-12
2023-12-15 05:30:00,628.0,648.25,650.0,619.85,29813572,2023-12
2023-12-18 05:30:00,646.65,648.5,655.65,642.4,16221796,2023-12
2023-12-19 05:30:00,648.5,655.4,659.6,640.25,19964008,2023-12
2023-12-20 05:30:00,658.7,636.45,660.4,633.95,22542056,2023-12
2023-12-21 05:30:00,632.15,643.75,648.95,627.5,19915516,2023-12
2023-12-22 05:30:00,644.75,636.75,649.4,635.15,14998068,2023-12
2023-12-26 05:30:00,638.85,638.05,641.3,635.65,10153089,2023-12
2023-12-27 05:30:00,640.75,648.55,649.45,639.0,14417646,2023-12
2023-12-28 05:30:00,650.25,651.4,653.3,646.5,16982092,2023-12
2023-12-29 05:30:00,645.5,642.05,649.6,639.55,13221898,2023-12
2024-01-01 05:30:00,642.2,641.35,646.9,638.0,8295548,2024-01
2024-01-02 05:30:00,641.35,639.45,648.0,633.85,15164482,2024-01
2024-01-03 05:30:00,639.35,643.45,648.0,635.8,14571772,2024-01
2024-01-04 05:30:00,642.5,642.75,646.4,638.65,13883388,2024-01
2024-01-05 05:30:00,645.0,641.95,651.75,637.75,15984585,2024-01
2024-01-08 05:30:00,640.0,627.0,645.0,625.05,14739531,2024-01
2024-01-09 05:30:00,632.0,625.4,634.35,624.5,13400235,2024-01
2024-01-10 05:30:00,624.8,621.75,625.3,618.2,12742464,2024-01
2024-01-11 05:30:00,626.0,620.2,627.15,618.5,15533860,2024-01
2024-01-12 05:30:00,623.8,633.6,636.5,621.1,16620797,2024-01
2024-01-15 05:30:00,638.9,640.1,645.5,636.1,16844018,2024-01
2024-01-16 05:30:00,640.0,636.9,644.9,633.45,15025543,2024-01
2024-01-17 05:30:00,624.0,626.0,636.8,623.0,30016308,2024-01
2024-01-18 05:30:00,625.8,628.3,633.45,619.05,14695436,2024-01
2024-01-19 05:30:00,633.0,627.75,635.5,624.7,11675202,2024-01
2024-01-20 05:30:00,629.0,631.4,633.8,624.1,9886760,2024-01
2024-01-23 05:30:00,627.0,605.1,634.9,600.65,30954343,2024-01
2024-01-24 05:30:00,609.95,618.3,622.35,603.1,19221835,2024-01
2024-01-25 05:30:00,618.5,612.75,623.8,606.25,22684904,2024-01
2024-01-29 05:30:00,619.0,622.95,629.5,615.6,19572140,2024-01
2024-01-30 05:30:00,625.45,626.75,633.5,624.2,16966577,2024-01
2024-01-31 05:30:00,626.4,640.5,643.2,622.0,23270745,2024-01
2024-02-01 05:30:00,642.75,647.65,652.95,633.25,26587707,2024-02
2024-02-02 05:30:00,652.0,649.65,660.55,646.7,27471811,2024-02
2024-02-05 05:30:00,647.1,642.95,654.8,638.75,28339525,2024-02
2024-02-06 05:30:00,644.45,650.25,655.0,637.7,14079390,2024-02
2024-02-07 05:30:00,655.05,675.25,677.95,655.0,41696232,2024-02
2024-02-08 05:30:00,680.4,699.55,718.9,678.5,74222434,2024-02
2024-02-09 05:30:00,703.65,725.25,728.35,694.2,43235061,2024-02
2024-02-12 05:30:00,726.0,707.9,726.0,704.5,22873137,2024-02
2024-02-13 05:30:00,708.55,713.45,718.0,702.15,23351472,2024-02
2024-02-14 05:30:00,705.55,743.4,748.5,705.55,36782182,2024-02
2024-02-15 05:30:00,747.7,761.7,764.0,741.65,33941282,2024-02
