date,open,close,high,low,volume,month
2023-11-01 05:30:00,1884.0,1902.25,1907.0,1876.15,758859,2023-11
2023-11-02 05:30:00,1913.5,1954.85,1965.0,1902.8,857752,2023-11
2023-11-03 05:30:00,1962.5,2013.55,2027.95,1952.05,1864454,2023-11
2023-11-06 05:30:00,2008.95,1991.5,2012.4,1982.0,1126831,2023-11
2023-11-07 05:30:00,1999.9,1987.2,2005.4,1954.25,1761418,2023-11
2023-11-08 05:30:00,1987.2,1979.65,1992.65,1971.25,705075,2023-11
2023-11-09 05:30:00,1970.0,1943.4,1970.0,1940.0,995069,2023-11
2023-11-10 05:30:00,1940.0,1952.2,1965.95,1926.9,486020,2023-11
2023-11-12 05:30:00,1958.5,1963.25,1969.7,1957.1,46003,2023-11
2023-11-13 05:30:00,1957.4,1967.8,1973.0,1930.2,555900,2023-11
2023-11-15 05:30:00,1985.25,2035.75,2041.2,1975.1,1269373,2023-11
2023-11-16 05:30:00,2036.8,2035.75,2051.0,2015.5,636899,2023-11
2023-11-17 05:30:00,2018.95,1994.8,2018.95,1981.1,1093774,2023-11
2023-11-20 05:30:00,1995.0,1988.95,2009.8,1977.8,572596,2023-11
2023-11-21 05:30:00,2000.0,1999.85,2019.8,1980.2,1017891,2023-11
2023-11-22 05:30:00,2004.95,1977.1,2010.0,1953.25,527815,2023-11
2023-11-23 05:30:00,1978.0,1974.85,1998.9,1970.0,305865,2023-11
2023-11-24 05:30:00,1974.85,1947.5,1980.0,1941.1,475859,2023-11
2023-11-28 05:30:00,1951.8,1965.7,1970.0,1934.55,720833,2023-11
2023-11-29 05:30:00,1965.7,1974.35,1981.4,1960.0,659944,2023-11
2023-11-30 05:30:00,1973.05,2007.2,2020.0,1971.3,2200458,2023-11
2023-12-01 05:30:00,2014.0,2003.25,2029.9,1997.0,606990,2023-12
2023-12-04 05:30:00,2025.0,2094.45,2108.0,2007.25,1872166,2023-12
2023-12-05 05:30:00,2094.45,2069.95,2098.85,2043.05,1659380,2023-12
2023-12-06 05:30:00,2077.0,2055.7,2084.1,2045.0,719690,2023-12
2023-12-07 05:30:00,2060.95,2034.8,2070.0,2030.0,780832,2023-12
2023-12-08 05:30:00,2050.0,2031.6,2057.5,2014.7,843673,2023-12
2023-12-11 05:30:00,2031.6,2047.1,2067.9,2015.45,989693,2023-12
2023-12-12 05:30:00,2065.0,1995.25,2065.0,1988.05,1431809,2023-12
2023-12-13 05:30:00,2009.95,1995.3,2011.7,1976.05,1594654,2023-12
2023-12-14 05:30:00,2006.0,2118.3,2130.0,2005.1,2384904,2023-12
2023-12-15 05:30:00,2117.0,2077.7,2121.6,2070.1,2245653,2023-12
2023-12-18 05:30:00,2076.8,2048.0,2078.55,2042.9,840682,2023-12
2023-12-19 05:30:00,2058.8,2059.55,2082.65,2040.0,2214192,2023-12
2023-12-20 05:30:00,2061.0,1998.75,2111.95,1990.0,1887125,2023-12
