date,open,close,high,low,volume,month
2023-11-01 05:30:00,894.88,892.06,908.71,884.7,2645858,2023-11
2023-11-02 05:30:00,898.98,900.06,906.43,892.46,1069223,2023-11
2023-11-03 05:30:00,900.8,902.48,908.01,900.06,890838,2023-11
2023-11-06 05:30:00,905.5,907.37,912.36,904.75,733260,2023-11
2023-11-07 05:30:00,908.71,910.73,912.36,901.79,809657,2023-11
2023-11-08 05:30:00,911.17,905.05,918.04,902.93,1077038,2023-11
2023-11-09 05:30:00,905.05,891.77,907.67,887.32,3155135,2023-11
2023-11-10 05:30:00,891.77,901.49,905.59,885.49,3799221,2023-11
2023-11-12 05:30:00,910.68,904.06,910.68,902.78,155860,2023-11
2023-11-13 05:30:00,902.78,905.3,909.15,895.96,893778,2023-11
2023-11-15 05:30:00,910.09,918.19,920.56,905.1,1544961,2023-11
2023-11-16 05:30:00,921.55,908.75,921.55,906.73,1299161,2023-11
2023-11-17 05:30:00,910.68,919.42,922.53,909.69,949562,2023-11
2023-11-20 05:30:00,924.01,919.42,929.3,916.8,1154678,2023-11
2023-11-21 05:30:00,894.88,916.31,920.06,894.88,794469,2023-11
2023-11-22 05:30:00,920.01,916.85,928.26,910.93,874578,2023-11
2023-11-23 05:30:00,917.74,921.55,926.19,915.62,896369,2023-11
2023-11-24 05:30:00,923.22,915.52,925.35,912.66,514808,2023-11
2023-11-28 05:30:00,913.64,920.41,923.47,913.4,893726,2023-11
2023-11-29 05:30:00,923.47,922.09,926.39,918.58,1035032,2023-11
2023-11-30 05:30:00,920.56,929.2,936.56,920.56,2945889,2023-11
2023-12-01 05:30:00,934.29,931.27,941.2,928.21,1115523,2023-12
2023-12-04 05:30:00,942.29,935.03,944.76,930.39,1099241,2023-12
2023-12-05 05:30:00,935.08,938.39,942.44,932.56,782984,2023-12
2023-12-06 05:30:00,942.29,940.02,951.18,937.25,970422,2023-12
2023-12-07 05:30:00,940.31,945.15,947.77,938.39,921650,2023-12
2023-12-08 05:30:00,948.21,934.98,950.04,932.21,641121,2023-12
2023-12-11 05:30:00,938.24,938.78,941.3,932.46,470328,2023-12
2023-12-12 05:30:00,941.35,937.1,950.14,932.02,723075,2023-12
2023-12-13 05:30:00,936.36,945.55,947.92,934.88,888773,2023-12
2023-12-14 05:30:00,949.0,938.78,949.0,932.51,1956444,2023-12
2023-12-15 05:30:00,948.16,942.98,948.16,937.25,1141316,2023-12
2023-12-18 05:30:00,944.26,938.04,946.44,933.69,987646,2023-12
2023-12-19 05:30:00,941.3,954.29,965.99,937.5,3849642,2023-12
2023-12-20 05:30:00,963.03,964.31,997.6,954.29,4410963,2023-12
2023-12-21 05:30:00,964.02,967.28,971.82,951.23,1569398,2023-12
2023-12-22 05:30:00,973.89,980.61,986.04,967.62,1473138,2023-12
2023-12-26 05:30:00,980.81,994.98,1004.51,980.61,1782830,2023-12
2023-12-27 05:30:00,1002.49,1014.14,1016.37,997.7,1777406,2023-12
2023-12-28 05:30:00,1018.1,1028.22,1037.11,1012.71,2027205,2023-12
2023-12-29 05:30:00,1041.01,1073.46,1080.57,1034.84,4955975,2023-12
2024-01-01 05:30:00,1080.42,1066.84,1080.42,1062.79,925046,2024-01
2024-01-02 05:30:00,1073.01,1084.27,1089.51,1066.25,2602841,2024-01
2024-01-03 05:30:00,1084.47,1071.63,1085.61,1069.41,1087188,2024-01
2024-01-04 05:30:00,1074.74,1111.73,1114.74,1072.82,2743090,2024-01
2024-01-05 05:30:00,1111.19,1109.16,1117.26,1103.34,1192335,2024-01
2024-01-08 05:30:00,1111.24,1091.38,1115.14,1081.21,1701605,2024-01
2024-01-09 05:30:00,1092.42,1098.0,1106.4,1092.42,986098,2024-01
2024-01-10 05:30:00,1098.35,1100.27,1103.98,1087.48,921671,2024-01
2024-01-11 05:30:00,1103.29,1105.51,1111.14,1098.4,1070726,2024-01
2024-01-12 05:30:00,1111.63,1144.77,1151.24,1110.05,5944396,2024-01
2024-01-15 05:30:00,1175.39,1136.67,1176.33,1120.82,4185461,2024-01
