date,open,close,high,low,volume,month
2023-11-01 05:30:00,630.0,627.7,633.8,626.3,8785264,2023-11
2023-11-02 05:30:00,632.0,636.45,638.2,630.1,9934305,2023-11
2023-11-03 05:30:00,662.0,647.5,666.0,646.2,23087856,2023-11
2023-11-06 05:30:00,652.85,646.05,652.85,643.2,10801301,2023-11
2023-11-07 05:30:00,645.0,645.0,649.9,643.3,6588073,2023-11
2023-11-08 05:30:00,648.0,642.55,649.05,641.9,6551864,2023-11
2023-11-09 05:30:00,644.0,649.35,653.65,642.7,10155047,2023-11
2023-11-10 05:30:00,649.35,651.05,652.95,644.0,6425792,2023-11
2023-11-12 05:30:00,657.95,653.55,657.95,652.4,2245583,2023-11
2023-11-13 05:30:00,653.0,653.25,654.0,649.3,3279829,2023-11
2023-11-15 05:30:00,660.0,671.55,673.5,656.55,11324434,2023-11
2023-11-16 05:30:00,674.0,680.4,685.5,670.9,17501373,2023-11
2023-11-17 05:30:00,682.5,681.55,687.65,679.6,9563220,2023-11
2023-11-20 05:30:00,682.0,674.3,686.75,670.7,8324354,2023-11
2023-11-21 05:30:00,677.0,681.7,683.3,675.0,7291057,2023-11
2023-11-22 05:30:00,683.95,681.2,687.35,676.05,9279642,2023-11
2023-11-23 05:30:00,683.2,679.95,685.9,677.05,5885370,2023-11
2023-11-24 05:30:00,681.4,673.7,681.95,671.25,6951690,2023-11
2023-11-28 05:30:00,677.45,697.5,699.45,674.25,16015860,2023-11
2023-11-29 05:30:00,702.75,712.35,714.4,694.35,16122864,2023-11
2023-11-30 05:30:00,716.3,706.4,717.25,697.0,24275245,2023-11
2023-12-01 05:30:00,708.0,705.45,711.0,703.0,10565415,2023-12
2023-12-04 05:30:00,716.0,705.6,717.0,704.8,9348036,2023-12
2023-12-05 05:30:00,705.9,708.95,714.9,705.0,9601509,2023-12
2023-12-06 05:30:00,709.05,722.45,724.8,709.0,12148825,2023-12
2023-12-07 05:30:00,725.0,721.95,727.5,716.0,10451801,2023-12
2023-12-08 05:30:00,722.05,714.55,727.6,707.5,8557203,2023-12
2023-12-11 05:30:00,717.8,720.8,726.5,716.55,6403209,2023-12
2023-12-12 05:30:00,724.8,715.4,724.8,713.0,6461539,2023-12
2023-12-13 05:30:00,716.0,720.3,721.45,713.5,5807736,2023-12
2023-12-14 05:30:00,724.0,719.75,724.7,718.6,6732352,2023-12
2023-12-15 05:30:00,723.9,732.4,734.0,721.25,12082079,2023-12
2023-12-18 05:30:00,732.9,730.8,734.75,728.1,5450397,2023-12
2023-12-19 05:30:00,732.6,728.95,732.6,726.0,4511101,2023-12
2023-12-20 05:30:00,730.95,705.25,733.0,703.05,8107602,2023-12
2023-12-21 05:30:00,703.0,708.85,711.9,696.25,7702232,2023-12
2023-12-22 05:30:00,716.8,724.7,731.0,712.0,12062238,2023-12
2023-12-26 05:30:00,727.4,719.55,727.5,716.6,7229143,2023-12
2023-12-27 05:30:00,728.0,740.9,741.85,725.15,15052800,2023-12
2023-12-28 05:30:00,742.65,753.9,757.95,739.05,14906199,2023-12
2023-12-29 05:30:00,755.0,779.95,802.9,754.0,41170191,2023-12
2024-01-01 05:30:00,785.0,790.6,798.7,781.05,12570717,2024-01
2024-01-02 05:30:00,800.5,784.4,804.0,779.0,13791090,2024-01
2024-01-03 05:30:00,786.05,781.45,790.0,776.25,8559060,2024-01
2024-01-04 05:30:00,798.0,795.75,801.8,791.3,14298444,2024-01
2024-01-05 05:30:00,799.0,790.95,805.9,787.1,11091198,2024-01
2024-01-08 05:30:00,798.4,789.1,800.35,787.5,7668471,2024-01
2024-01-09 05:30:00,799.95,799.8,809.2,793.15,12872757,2024-01
2024-01-10 05:30:00,800.0,808.45,811.0,792.65,9980044,2024-01
2024-01-11 05:30:00,813.5,815.65,817.5,808.45,11075167,2024-01
2024-01-12 05:30:00,818.15,816.45,818.55,809.15,7664094,2024-01
2024-01-15 05:30:00,820.0,812.45,820.4,810.3,4835856,2024-01
2024-01-16 05:30:00,812.45,818.85,827.0,812.45,10159066,2024-01
