date,open,close,high,low,volume,month
2023-11-01 05:30:00,383.85,380.95,385.55,380.15,2120976,2023-11
2023-11-02 05:30:00,383.8,383.65,385.15,382.1,2371365,2023-11
2023-11-03 05:30:00,386.0,383.55,386.7,382.65,2645764,2023-11
2023-11-06 05:30:00,386.0,384.65,386.45,383.0,2469968,2023-11
2023-11-07 05:30:00,384.9,383.3,387.0,382.85,2846089,2023-11
2023-11-08 05:30:00,384.6,382.2,385.85,381.5,3551026,2023-11
2023-11-09 05:30:00,383.0,380.85,384.0,379.7,4615563,2023-11
2023-11-10 05:30:00,380.3,379.3,381.8,377.0,5355350,2023-11
2023-11-12 05:30:00,383.4,382.45,383.4,381.45,1011662,2023-11
2023-11-13 05:30:00,382.6,381.65,382.9,380.0,1792951,2023-11
2023-11-15 05:30:00,385.55,391.65,392.25,384.25,5396259,2023-11
2023-11-16 05:30:00,391.65,397.1,399.5,389.3,6921788,2023-11
2023-11-17 05:30:00,398.0,395.4,399.0,394.5,3943464,2023-11
2023-11-20 05:30:00,393.2,400.2,401.1,393.2,4305248,2023-11
2023-11-21 05:30:00,402.6,400.65,402.6,400.05,2720124,2023-11
2023-11-22 05:30:00,402.5,400.25,402.6,399.1,2659291,2023-11
2023-11-23 05:30:00,400.5,402.5,405.0,400.5,4838680,2023-11
2023-11-24 05:30:00,402.5,396.0,403.5,395.55,3125283,2023-11
2023-11-28 05:30:00,397.0,396.85,398.75,393.1,4072657,2023-11
2023-11-29 05:30:00,398.0,406.25,408.55,398.0,7772043,2023-11
2023-11-30 05:30:00,406.95,413.05,414.5,404.05,9912979,2023-11
2023-12-01 05:30:00,413.75,407.65,413.75,406.5,4915213,2023-12
2023-12-04 05:30:00,412.7,407.45,413.0,406.75,5331236,2023-12
2023-12-05 05:30:00,407.4,404.35,409.0,402.1,5582684,2023-12
2023-12-06 05:30:00,406.75,418.75,420.4,405.95,11041035,2023-12
2023-12-07 05:30:00,420.0,418.25,421.5,416.65,5625276,2023-12
2023-12-08 05:30:00,418.8,422.6,424.5,415.0,7739561,2023-12
2023-12-11 05:30:00,420.0,420.6,422.2,417.25,5042121,2023-12
2023-12-12 05:30:00,420.7,422.2,427.9,420.15,5951682,2023-12
2023-12-13 05:30:00,423.55,419.65,424.3,415.0,4848408,2023-12
2023-12-14 05:30:00,423.5,434.4,436.0,423.25,12340688,2023-12
2023-12-15 05:30:00,436.05,446.55,449.5,433.5,20783617,2023-12
2023-12-18 05:30:00,446.0,445.25,453.5,442.0,10091036,2023-12
2023-12-19 05:30:00,445.6,438.7,447.35,435.0,8032347,2023-12
2023-12-20 05:30:00,442.0,431.95,449.5,429.35,13224971,2023-12
2023-12-21 05:30:00,428.9,434.0,436.5,427.2,5331504,2023-12
2023-12-22 05:30:00,435.3,462.65,466.3,434.0,23040407,2023-12
2023-12-26 05:30:00,454.0,470.1,475.8,448.35,27314322,2023-12
2023-12-27 05:30:00,468.5,470.95,475.4,464.1,12631496,2023-12
2023-12-28 05:30:00,472.55,469.45,477.4,467.65,8419978,2023-12
2023-12-29 05:30:00,470.95,471.3,475.35,466.1,7980570,2023-12
2024-01-01 05:30:00,473.0,477.15,483.5,468.3,10173639,2024-01
2024-01-02 05:30:00,478.0,469.2,478.0,464.3,7141257,2024-01
2024-01-03 05:30:00,463.9,455.9,463.9,455.0,9767182,2024-01
2024-01-04 05:30:00,457.0,452.4,459.85,451.4,7585168,2024-01
2024-01-05 05:30:00,455.05,456.6,463.0,453.5,8444565,2024-01
2024-01-08 05:30:00,457.5,450.35,460.0,449.05,5041443,2024-01
2024-01-09 05:30:00,458.0,450.75,462.5,449.95,7232524,2024-01
2024-01-10 05:30:00,451.45,453.6,456.0,449.0,4437338,2024-01
2024-01-11 05:30:00,454.95,448.2,456.9,446.7,4319409,2024-01
2024-01-12 05:30:00,455.0,465.45,469.0,455.0,18043367,2024-01
2024-01-15 05:30:00,511.95,494.6,529.0,489.15,63922132,2024-01
2024-01-16 05:30:00,495.0,485.0,495.0,480.5,12956246,2024-01
2024-01-17 05:30:00,475.15,482.4,491.5,472.0,14334466,2024-01
2024-01-18 05:30:00,482.4,482.65,489.0,468.4,13072462,2024-01
2024-01-19 05:30:00,488.0,485.05,493.35,483.6,7749310,2024-01
2024-01-20 05:30:00,486.4,477.95,488.9,469.05,6045801,2024-01
2024-01-23 05:30:00,478.05,469.9,486.0,467.05,9986168,2024-01
2024-01-24 05:30:00,471.0,478.05,479.0,468.05,5854375,2024-01
2024-01-25 05:30:00,478.05,470.0,479.35,468.55,6426490,2024-01
2024-01-29 05:30:00,470.0,473.0,477.0,470.0,5025650,2024-01
2024-01-30 05:30:00,474.4,472.5,482.9,471.5,5914007,2024-01
2024-01-31 05:30:00,472.5,478.15,479.9,469.0,5292240,2024-01
2024-02-01 05:30:00,477.55,471.35,477.7,470.6,3914060,2024-02
2024-02-02 05:30:00,475.0,483.15,486.5,475.0,8148111,2024-02
2024-02-05 05:30:00,483.0,482.35,489.5,479.15,5783302,2024-02
2024-02-06 05:30:00,484.7,499.65,501.8,483.1,14512019,2024-02
2024-02-07 05:30:00,500.95,495.2,501.7,492.55,4551767,2024-02
2024-02-08 05:30:00,495.9,488.85,500.1,485.1,5651920,2024-02
2024-02-09 05:30:00,490.9,490.45,494.75,482.75,3946894,2024-02
2024-02-12 05:30:00,491.0,501.45,510.8,491.0,24436750,2024-02
2024-02-13 05:30:00,503.1,511.6,513.0,491.7,11186788,2024-02
2024-02-14 05:30:00,503.95,514.5,517.0,497.05,11297328,2024-02
2024-02-15 05:30:00,516.95,518.5,522.85,513.05,7285388,2024-02
2024-02-16 05:30:00,522.5,543.0,545.0,520.95,17471322,2024-02
2024-02-19 05:30:00,545.9,535.95,545.9,531.35,9301379,2024-02
2024-02-20 05:30:00,535.8,531.95,538.15,526.25,5187063,2024-02
2024-02-21 05:30:00,535.9,521.4,536.3,519.5,6557787,2024-02
2024-02-22 05:30:00,522.8,531.05,533.0,521.45,7298241,2024-02
2024-02-23 05:30:00,535.0,536.15,541.25,533.3,9930497,2024-02
2024-02-26 05:30:00,536.25,532.9,536.5,526.05,4410318,2024-02
2024-02-27 05:30:00,534.0,531.45,537.4,527.55,5199630,2024-02
2024-02-28 05:30:00,530.0,517.7,530.95,515.0,6394528,2024-02
2024-02-29 05:30:00,517.3,518.6,524.25,513.2,7231382,2024-02
2024-03-01 05:30:00,522.4,519.1,525.2,517.55,4710315,2024-03
2024-03-02 05:30:00,523.45,522.85,524.8,522.0,340134,2024-03
2024-03-04 05:30:00,522.95,520.5,526.4,518.55,2831185,2024-03
2024-03-05 05:30:00,517.75,513.3,520.5,510.65,5260774,2024-03
2024-03-06 05:30:00,513.7,513.15,514.85,500.0,5545961,2024-03
2024-03-07 05:30:00,513.75,515.5,520.4,510.5,4853991,2024-03
2024-03-11 05:30:00,517.4,514.55,518.95,512.3,5565756,2024-03
2024-03-12 05:30:00,512.75,510.85,522.5,507.75,5826380,2024-03
2024-03-13 05:30:00,513.8,504.4,518.7,496.8,6790240,2024-03
